GLOSS	CATALAN_REF	CATALAN_SEQ	FRENCH_REF	FRENCH_SEQ	ITALIAN_REF	ITALIAN_SEQ	LATIN_REF	LATIN_SEQ	PORTUGUESE_REF	PORTUGUESE_SEQ	ROMANIAN_REF	ROMANIAN_SEQ	SPANISH_REF	SPANISH_SEQ
ACHE	d̪ - ɔ lˠ d̪ - ɾ ə	d̪ ɔ lˠ d̪ ɾ ə	f ɛː ʁ + m a l	f ɛː ʁ + m a l	d - o l - e r e	d o l e r e	d - ɔ lˠ - eː r ɛ	d ɔ lˠ eː r ɛ	d w e - - - r -	d w e r	d u r e a	d u r e a	d - o l - e ɾ -	d o l e ɾ
ADD	ə f ə ʒ i	ə f ə ʒ i	a ʒ u t e	a ʒ u t e	a d dʒ u n dʒ e r e	a d dʒ u n dʒ e r e	a - - - - dː ɛ r ɛ	a dː ɛ r ɛ	ɐ k r ə ʃ s ẽ t a r	ɐ k r ə ʃ s ẽ t a r	a d ə w g a	a d ə w g a	a ɲ a ð i ɾ	a ɲ a ð i ɾ
AFFAIR	ə s u m p t̪ ə	ə s u m p t̪ ə	a f - - ɛː ʁ -	a f ɛː ʁ	f a t tʃ e n d a	f a t tʃ e n d a	r eː s	r eː s	ɐ s ũ - t u	ɐ s ũ t u	a f a tʃ e r e	a f a tʃ e r e	a s u n t o	a s u n t o
AFTERWARDS	d̪ ə s p ɾ e - s	d̪ ə s p ɾ e s	ɑ̃ s ɥ i t	ɑ̃ s ɥ i t	d o p o	d o p o	p ɔ s t ɛ aː	p ɔ s t ɛ aː	d ə - p - o j ʃ	d ə p o j ʃ	d u p ə + a tʃ e a s t a	d u p ə + a tʃ e a s t a	d e s p w e - s	d e s p w e s
AGAIN	d̪ ə + n - ɔ - w -	d̪ ə + n ɔ w	d ə n u v o	d ə n u v o	d i + n - u o v o	d i + n u o v o	r uː r s ʊ s	r uː r s ʊ s	o t r ɐ + v e ʃ	o t r ɐ + v e ʃ	j a r ə ʃʲ	j a r ə ʃʲ	d e + n w e - β o	d e + n w e β o
AGE	ə ð a t̪ -	ə ð a t̪	aː ʒ	aː ʒ	e t a	e t a	a ɛ t aː s	a ɛ t aː s	ɪ ð a ð ə	ɪ ð a ð ə	v ɨ r s t ə	v ɨ r s t ə	e ð a ð -	e ð a ð
AIR	a j ɾ ə	a j ɾ ə	- ɛː ʁ	ɛː ʁ	a r i a	a r i a	aː eː r	aː eː r	- a r	a r	a e r	a e r	a i ɾ e	a i ɾ e
ALL	t̪ ɔ t̪ -	t̪ ɔ t̪	t u - -	t u	t u tː o	t u tː o	ɔ m n ɪ a	ɔ m n ɪ a	t o ð u	t o ð u	t o t -	t o t	t o ð o	t o ð o
ALONE	- - - s ɔ lˠ -	s ɔ lˠ	- - - s œ l -	s œ l	d a + s o l o	d a + s o l o	- - - s oː lˠ ʊ̃	s oː lˠ ʊ̃	- - - s ɔ - -	s ɔ	s i n g u r	s i n g u r	- a + s o l o	a + s o l o
ALREADY	ʒ a	ʒ a	d e ʒ a	d e ʒ a	dʒ a	dʒ a	ɪ ã	ɪ ã	ʒ a	ʒ a	d e ʒ a	d e ʒ a	ʝ a	ʝ a
ALWAYS	s - ɛ m p - ɾ ə	s ɛ m p ɾ ə	t u ʒ uː ʁ	t u ʒ uː ʁ	s - e m p - r e	s e m p r e	s - ɛ m p ɛ r -	s ɛ m p ɛ r	s - ẽ - p - r ə	s ẽ p r ə	ɨ n t o t d e a w n a	ɨ n t o t d e a w n a	s j e m p - ɾ e	s j e m p ɾ e
