GLOSS	CATALAN_REF	CATALAN_SEQ	FRENCH_REF	FRENCH_SEQ	ITALIAN_REF	ITALIAN_SEQ	LATIN_REF	LATIN_SEQ	PORTUGUESE_REF	PORTUGUESE_SEQ	ROMANIAN_REF	ROMANIAN_SEQ	SPANISH_REF	SPANISH_SEQ
AMOUNT	k w ə n̪ t̪ i t̪ a t̪ -	k w ə n̪ t̪ i t̪ a t̪	k - ɑ̃ - t i t e - -	k ɑ̃ t i t e	k w a n t i t a - -	k w a n t i t a	k oː p ɪ a	k oː p ɪ a	k w ɐ̃ - t i ð a ð ə	k w ɐ̃ t i ð a ð ə	k - a n t i t a t e	k a n t i t a t e	k - a n t i ð a ð -	k a n t i ð a ð
AND	i	i	e	e	e	e	kʷ ɛ	kʷ ɛ	i	i	ʃ i	ʃ i	i	i
ANIMAL	ə n i m a lˠ -	ə n i m a lˠ	a n i m a l -	a n i m a l	a n i m a l e	a n i m a l e	b eː s t ɪ a	b eː s t ɪ a	ɐ n i m a lˠ -	ɐ n i m a lˠ	a n i m a l -	a n i m a l	a n i m a l -	a n i m a l
ANT	f u ɾ m i ɣ ə	f u ɾ m i ɣ ə	f u ʁ m - - i	f u ʁ m i	f o r m i k a	f o r m i k a	f ɔ r m iː k a	f ɔ r m iː k a	f o r m i ɣ a	f o r m i ɣ a	f u r n i k ə	f u r n i k ə	- o ɾ m i ɣ a	o ɾ m i ɣ a
APPLE	p ɔ m ə	p ɔ m ə	p ɔ m -	p ɔ m	m e l a	m e l a	m aː lˠ ʊ̃	m aː lˠ ʊ̃	m ɐ s ɐ̃	m ɐ s ɐ̃	m ə r	m ə r	m a n θ a n a	m a n θ a n a
APRIL	ə β ɾ i lˠ - - -	ə β ɾ i lˠ	a v ʁ i l - - -	a v ʁ i l	a p r i l - e -	a p r i l e	a p r iː lˠ - ɪ s	a p r iː lˠ ɪ s	ɐ β r i lˠ - - -	ɐ β r i lˠ	a p r i l j e -	a p r i l j e	a β ɾ i l - - -	a β ɾ i l
AREA	k u n̪ t̪ ɾ a ð ə	k u n̪ t̪ ɾ a ð ə	k ɔ̃ - t ʁ - - e	k ɔ̃ t ʁ e	r e dʒ o - n e	r e dʒ o n e	r ɛ g - ɪ oː -	r ɛ g ɪ oː	ʀ ə ʒ j ɐ̃ - w	ʀ ə ʒ j ɐ̃ w	r e dʒ i w n e	r e dʒ i w n e	k o m a ɾ k a	k o m a ɾ k a
ARM	b ɾ a - s -	b ɾ a s	b ʁ a - - -	b ʁ a	b r a t tʃ o	b r a t tʃ o	b r a kː h ɪ ʊ̃	b r a kː h ɪ ʊ̃	b r a - s u	b r a s u	b r a - ts -	b r a ts	b ɾ a - θ o	b ɾ a θ o
ARRIVE	ə r i β - - a	ə r i β a	a ʁ i v - - e	a ʁ i v e	a rː i v a r e	a rː i v a r e	a d w ɛ n iː r ɛ	a d w ɛ n iː r ɛ	ʃ ə ɣ a r	ʃ ə ɣ a r	a ʒ u n dʒ e	a ʒ u n dʒ e	ʝ e ɣ a ɾ	ʝ e ɣ a ɾ
ARROW	f lˠ ɛ tʃ ə	f lˠ ɛ tʃ ə	f l ɛ ʃ -	f l ɛ ʃ	f r e t tʃ a	f r e t tʃ a	s a g ɪ tː a	s a g ɪ tː a	f l e ʃ a	f l e ʃ a	s ə dʒ e a t ə	s ə dʒ e a t ə	f l e tʃ a	f l e tʃ a
ASH	s ɛ n ð ɾ ə	s ɛ n ð ɾ ə	s ɑ̃ - d ʁ ə	s ɑ̃ d ʁ ə	tʃ e n e r e	tʃ e n e r e	k ɪ n ɪ s	k ɪ n ɪ s	s ĩ z a	s ĩ z a	tʃ e n u ʃ ə	tʃ e n u ʃ ə	θ e n i θ a	θ e n i θ a
ASK_(INQUIRE)	p - ɾ ə ɣ u n̪ t̪ a -	p ɾ ə ɣ u n̪ t̪ a	d ə m ɑ̃ - d - - e	d ə m ɑ̃ d e	d o m a n d a r e	d o m a n d a r e	kʷ a ɛ r ɛ r ɛ	kʷ a ɛ r ɛ r ɛ	p ə r - ɣ ũ - t a r	p ə r ɣ ũ t a r	ɨ n t r e b a	ɨ n t r e b a	p - ɾ e ɣ u n t a ɾ	p ɾ e ɣ u n t a ɾ
ASK_(REQUEST)	d̪ ə m ə n a	d̪ ə m ə n a	p ʁ i e	p ʁ i e	p r e g a r e	p r e g a r e	- r ɔ g aː r ɛ	r ɔ g aː r ɛ	p ə ð i r	p ə ð i r	r u g a	r u g a	- ɾ o ɣ a ɾ -	ɾ o ɣ a ɾ
ASSEMBLE_(GET_TOGETHER)	r ə w - n i ɾ z ə	r ə w n i ɾ z ə	s a s ɑ̃ b l e	s a s ɑ̃ b l e	r i n u n i r z i	r i n u n i r z i	k ɔ n w ɛ n iː r ɛ	k ɔ n w ɛ n iː r ɛ	ʀ - j u n i r s ə	ʀ j u n i r s ə	s e + a d u n a	s e + a d u n a	k o ŋ g ɾ e ɣ a ɾ s e	k o ŋ g ɾ e ɣ a ɾ s e
AT_FIRST	- - p ɾ i m - - - - - ɛ	p ɾ i m ɛ	- - p ʁ ə m - j ɛː ʁ m ɑ̃	p ʁ ə m j ɛː ʁ m ɑ̃	d a pː r i m - - - - - a	d a pː r i m a	- - p r iː m - - - - - oː	p r iː m oː	- - p r i m e j - r - u	p r i m e j r u	ɨ n + p r i m u l + r ɨ n d	ɨ n + p r i m u l + r ɨ n d	- - p ɾ i m e - - ɾ - o	p ɾ i m e ɾ o
AT_THAT_TIME	ə lˠ ə z ɔ ɾ ə s	ə lˠ ə z ɔ ɾ ə s	a l e p ɔ k	a l e p ɔ k	a lː o r a	a lː o r a	t ʊ m	t ʊ m	ẽ t ɐ̃ w	ẽ t ɐ̃ w	p e + a t u n tʃʲ	p e + a t u n tʃʲ	e n t o n θ e s	e n t o n θ e s
AUGUST	ə - ɣ - - - ɔ s	ə ɣ ɔ s	u t	u t	a - g o s t o -	a g o s t o	a ʊ gʷ - s t ʊ s	a ʊ gʷ s t ʊ s	ɐ - ɣ ɔ ʃ t u -	ɐ ɣ ɔ ʃ t u	a w g u s t	a w g u s t	a - ɣ o s t o -	a ɣ o s t o
AUNT	t̪ i ə	t̪ i ə	t ɑ̃ː t	t ɑ̃ː t	ts i a	ts i a	a m ɪ t a	a m ɪ t a	t i ɐ	t i ɐ	m ə t u ʃ ə	m ə t u ʃ ə	t i a	t i a
AUTUMN	t̪ ə ɾ ð ɔ	t̪ ə ɾ ð ɔ	o - t ɔ - n - -	o t ɔ n	a u t u - nː o -	a u t u nː o	a ʊ t ʊ m n ʊ s	a ʊ t ʊ m n ʊ s	o - t o - n u -	o t o n u	t o a m n ə	t o a m n ə	o - t o - ɲ o -	o t o ɲ o
A_LITTLE	u n ə + m i k ə	u n ə + m i k ə	œ̃ p ø	œ̃ p ø	u n + p o k - - o	u n + p o k o	p a ʊ lˠ ʊ̃	p a ʊ lˠ ʊ̃	ũ - + b u k a ð u	ũ + b u k a ð u	p u ts i n	p u ts i n	u n + p o k - - o	u n + p o k o
BACK	ə s k - ɛ n ə	ə s k ɛ n ə	d o	d o	- s k j e n a	s k j e n a	t ɛ r g̃ʷ	t ɛ r g̃ʷ	k ɔ ʃ t ɐ ʃ	k ɔ ʃ t ɐ ʃ	s p i n a r e	s p i n a r e	e s p a l d a	e s p a l d a
BACKWARD	ə n ð ə r ɛ ɾ ə	ə n ð ə r ɛ ɾ ə	ɑ̃ n a ʁ j ɛː ʁ	ɑ̃ n a ʁ j ɛː ʁ	a lː i n d i e t r o	a lː i n d i e t r o	r ɛ t r oː	r ɛ t r oː	p ɐ r ɐ + t r a ʃ	p ɐ r ɐ + t r a ʃ	ɨ n d ə r ə t	ɨ n d ə r ə t	a θ j a + a t ɾ a s	a θ j a + a t ɾ a s
BACK_(DIRECTION)	d̪ ə r ɛ ɾ ə	d̪ ə r ɛ ɾ ə	d ə ʁ ə t uː ʁ	d ə ʁ ə t uː ʁ	d i + i n d i e t r o	d i + i n d i e t r o	r ɛ t r oː	r ɛ t r oː	ɐ t r a ʃ	ɐ t r a ʃ	ɨ n a p o j	ɨ n a p o j	a t ɾ a s	a t ɾ a s
BAD	d̪ u lˠ ɛ n̪	d̪ u lˠ ɛ n̪	m o v ɛ	m o v ɛ	k a tː i v o	k a tː i v o	m a lˠ ʊ s	m a lˠ ʊ s	ʀ w ĩ	ʀ w ĩ	p r o s t	p r o s t	m a l o -	m a l o
BAD_LUCK	d̪ ə s ɣ ɾ a s i - a	d̪ ə s ɣ ɾ a s i a	m a l œː ʁ	m a l œː ʁ	s f o r t u n a	s f o r t u n a	k a lˠ a m ɪ t aː s	k a lˠ a m ɪ t aː s	d ə ʒ ɣ r a s - - ɐ	d ə ʒ ɣ r a s ɐ	n e n o r o tʃ i r e	n e n o r o tʃ i r e	d e z ɣ ɾ a θ - j a	d e z ɣ ɾ a θ j a
BAG	b ɔ - s ə	b ɔ s ə	s a k -	s a k	b o r z a	b o r z a	s a kː ʊ lˠ ʊ s	s a kː ʊ lˠ ʊ s	b ɔ lˠ s u	b ɔ lˠ s u	dʒ e a n t ə	dʒ e a n t ə	b o l s o	b o l s o
BAKE	k u - w - ɾ ə + ə lˠ + f ɔ ɾ n -	k u w ɾ ə + ə lˠ + f ɔ ɾ n	k ɥ iː ʁ	k ɥ iː ʁ	k u ɔ tʃ e r e + a l + f o r n o	k u ɔ tʃ e r e + a l + f o r n o	k ɔ - kʷ ɛ r ɛ	k ɔ kʷ ɛ r ɛ	k u - z e r -	k u z e r	k o a tʃ e	k o a tʃ e	k o - θ e ɾ - + a l + - o ɾ n o	k o θ e ɾ + a l + o ɾ n o
BARK	ə s k ɔ - ɾ s ə	ə s k ɔ ɾ s ə	e - k ɔ - ʁ s -	e k ɔ ʁ s	k o r t e t tʃ a	k o r t e t tʃ a	k ɔ r t ɛ k s -	k ɔ r t ɛ k s	k a ʃ k a	k a ʃ k a	- s k o a r ts ə	s k o a r ts ə	k o ɾ t e - θ a	k o ɾ t e θ a
BARKING	ʎ ə ð ɾ - - a	ʎ ə ð ɾ a	a b w a j e	a b w a j e	a bː a i a r e	a bː a i a r e	lˠ a t r aː r ɛ	lˠ a t r aː r ɛ	l a ð r a r -	l a ð r a r	l ə t r - - a	l ə t r a	l a ð ɾ a ɾ -	l a ð ɾ a ɾ
BATHE	b ə ɲ a ɾ z ə	b ə ɲ a ɾ z ə	s ə b ɛ ɲ e	s ə b ɛ ɲ e	f a r e + i l + b a ɲː o	f a r e + i l + b a ɲː o	lˠ a w aː r iː	lˠ a w aː r iː	t u m a r + b ɐ ɲ u	t u m a r + b ɐ ɲ u	s e + s k ə l d a	s e + s k ə l d a	b a ɲ a ɾ s e	b a ɲ a ɾ s e
BAY	b ə ð i ə	b ə ð i ə	b ɛ	b ɛ	k a l a	k a l a	s ɪ n ʊ s	s ɪ n ʊ s	b a - i a	b a i a	g o l f	g o l f	b a - i a	b a i a
BEAR	o s	o s	u ʁ s - -	u ʁ s	o r z o -	o r z o	ʊ r s ʊ s	ʊ r s ʊ s	u r ʃ u -	u r ʃ u	u r s - -	u r s	o - s o -	o s o
BEARD	b a ɾ β ə	b a ɾ β ə	b a ʁ b -	b a ʁ b	b a r b a	b a r b a	b a r b a	b a r b a	b a r b ɐ	b a r b ɐ	b a r b ə	b a r b ə	b a ɾ β a	b a ɾ β a
BEAUTIFUL	b u n i k -	b u n i k	b o	b o	b e lː o	b e lː o	f oː r m oː s ʊ s	f oː r m oː s ʊ s	b u n i t u	b u n i t u	f r u m o s	f r u m o s	- e ɾ m o s o -	e ɾ m o s o
BECAUSE_OF	- ə - + k ə w - z ə + d̪ ɛ	ə + k ə w z ə + d̪ ɛ	a k o z d ə	a k o z d ə	- a - + k a - u z a + d i	a + k a u z a + d i	p r ɔ p t ɛ r	p r ɔ p t ɛ r	p u r + k a w - z ɐ + d ə	p u r + k a w z ɐ + d ə	p e n t r u	p e n t r u	- a - + k a - u s a + ð e	a + k a u s a + ð e
BECOME	p u z a ɾ z ə	p u z a ɾ z ə	d ə v n iː ʁ	d ə v n iː ʁ	d i v e n t a r e	d i v e n t a r e	f ɪ ɛ r iː	f ɪ ɛ r iː	t u r n a r s ə	t u r n a r s ə	s e + f a tʃ e	s e + f a tʃ e	a θ e ɾ s e	a θ e ɾ s e
BECOME_SICK	p u z ə ɾ z ə + m ə lˠ a lˠ	p u z ə ɾ z ə + m ə lˠ a lˠ	t ɔ̃ b e + m a l a d	t ɔ̃ b e + m a l a d	a mː a l a r z i	a mː a l a r z i	a ɛ g r eː s k ɛ r ɛ	a ɛ g r eː s k ɛ r ɛ	f i k a r ð w ə n t e	f i k a r ð w ə n t e	s e + ɨ m b o l n ə vʲ	s e + ɨ m b o l n ə vʲ	k a e ɾ + e ɱ f e ɾ m o	k a e ɾ + e ɱ f e ɾ m o
BED	ʎ i - t̪ - -	ʎ i t̪	l i - - - -	l i	l e - tː o -	l e tː o	lˠ ɛ k t ʊ s	lˠ ɛ k t ʊ s	k ɐ m ɐ	k ɐ m ɐ	p a t	p a t	k a m a	k a m a
BEFORE	ə β a n s	ə β a n s	o p a ʁ a v ɑ̃	o p a ʁ a v ɑ̃	p r i m a	p r i m a	a n t ɛ - aː	a n t ɛ aː	ɐ̃ - t ə ʃ -	ɐ̃ t ə ʃ	ɨ n + p r e a l a b i l	ɨ n + p r e a l a b i l	a n t e s -	a n t e s
BEGIN	i n i s - i a - -	i n i s i a	k ɔ m ɑ̃ s e	k ɔ m ɑ̃ s e	k o m i n tʃ a r e	k o m i n tʃ a r e	ɪ ŋ k ɪ p ɛ r ɛ	ɪ ŋ k ɪ p ɛ r ɛ	i n i s j - a r -	i n i s j a r	ɨ n tʃ e p e	ɨ n tʃ e p e	i n i θ j - a ɾ -	i n i θ j a ɾ
BEHIND	d̪ ə r - ɛ ɾ ə	d̪ ə r ɛ ɾ ə	d ɛ ʁ j ɛː ʁ -	d ɛ ʁ j ɛː ʁ	d i e t r o	d i e t r o	p ɔ s t	p ɔ s t	- ɐ t r a ʃ + d ə	ɐ t r a ʃ + d ə	ɨ n + s p a t e l e	ɨ n + s p a t e l e	d e t ɾ a s + ð e	d e t ɾ a s + ð e
BELIEVE	k ɾ - ɛ w - ɾ ə	k ɾ ɛ w ɾ ə	k ʁ w aː - - ʁ -	k ʁ w aː ʁ	k r - e d e r e	k r e d e r e	k r - eː d ɛ r ɛ	k r eː d ɛ r ɛ	k r - e - - r -	k r e r	k r - e d - - e	k r e d e	k ɾ - e - e ɾ -	k ɾ e e ɾ
BELLY	p a ɲ ʃ ə	p a ɲ ʃ ə	v - ɑ̃ː - t - ʁ ə	v ɑ̃ː t ʁ ə	v - e n t - r e	v e n t r e	w - ɛ n t ɛ r -	w ɛ n t ɛ r	b ɐ ʀ i ɣ ɐ	b ɐ ʀ i ɣ ɐ	p ɨ n t e tʃ e	p ɨ n t e tʃ e	b j e n t - ɾ e	b j e n t ɾ e
BELOW_OR_UNDER	s ɔ t̪ ə	s ɔ t̪ ə	o d s u + d ə	o d s u + d ə	s o tː o	s o tː o	s ʊ b	s ʊ b	d ə β a j ʃ u + d ə	d ə β a j ʃ u + d ə	s u b	s u b	d e β a - x o + ð e	d e β a x o + ð e
BELT	s i n̪ t̪ u ɾ o -	s i n̪ t̪ u ɾ o	s ɛ̃ - t yː ʁ - -	s ɛ̃ t yː ʁ	tʃ i n t u r a -	tʃ i n t u r a	k ɪ ŋ gʷ lˠ ʊ̃	k ɪ ŋ gʷ lˠ ʊ̃	s ĩ t u	s ĩ t u	k o r d o n	k o r d o n	θ i n t u ɾ o n	θ i n t u ɾ o n
BEND_(SOMETHING)	ə ɾ k ə ʒ a	ə ɾ k ə ʒ a	k u ʁ b e	k u ʁ b e	t ɔ r tʃ e r e	t ɔ r tʃ e r e	k ʊ r w aː r ɛ	k ʊ r w aː r ɛ	v e r ɣ a r	v e r ɣ a r	ɨ n k o v o j a	ɨ n k o v o j a	d o β l a ɾ	d o β l a ɾ
BENEFIT	p ɾ u f i - t̪ -	p ɾ u f i t̪	p ʁ ɔ f i - - -	p ʁ ɔ f i	p r o f i - tː o	p r o f i tː o	uː t ɪ lˠ ɪ t aː s	uː t ɪ lˠ ɪ t aː s	p r o v e j t u	p r o v e j t u	p r o f i - t -	p r o f i t	p ɾ o β e - tʃ o	p ɾ o β e tʃ o
BERRY	b a j ə	b a j ə	b ɛ	b ɛ	b a kː a	b a kː a	b aː k a	b aː k a	b a ɣ u	b a ɣ u	b o a b ə	b o a b ə	b a ʝ a	b a ʝ a
BETWEEN	- ɛ n̪ t̪ - ɾ ə	ɛ n̪ t̪ ɾ ə	- ɑ̃ː - t - ʁ ə	ɑ̃ː t ʁ ə	f r a	f r a	- ɪ n t ɛ r -	ɪ n t ɛ r	- ẽ - t - r ə	ẽ t r ə	d i n t - r e	d i n t r e	- e n t - ɾ e	e n t ɾ e
BE_ABLE	p u ð ɛ -	p u ð ɛ	p u v w aː ʁ -	p u v w aː ʁ	s a p - e r e	s a p e r e	p ɔ sː ɛ -	p ɔ sː ɛ	s ɐ β - e r -	s ɐ β e r	p u t e a	p u t e a	p o ð e ɾ	p o ð e ɾ
BE_ALIVE	β i w - -	β i w	v i v ɑ̃ -	v i v ɑ̃	v i v o -	v i v o	w iː w ʊ s	w iː w ʊ s	v i v u -	v i v u	v i w - -	v i w	b i β j e n t e	b i β j e n t e
BE_ANGRY	ə ɱ f ə ð a ɾ z ə	ə ɱ f ə ð a ɾ z ə	s ə f ɑ ʃ e	s ə f ɑ ʃ e	a rː a bː i a r z i	a rː a bː i a r z i	ɪ n d ɪ ŋ n aː r iː	ɪ n d ɪ ŋ n aː r iː	z ɐ̃ g a r s ə	z ɐ̃ g a r s ə	s e + s u p ə r a	s e + s u p ə r a	e ɱ f a ð a ɾ s e	e ɱ f a ð a ɾ s e
BE_BORN	n e - ʃ ə - -	n e ʃ ə	n ɛː t ʁ ə	n ɛː t ʁ ə	n a - ʃː e r e	n a ʃː e r e	n aː s k iː	n aː s k iː	n ɐ ʃ s e r -	n ɐ ʃ s e r	s e + n a ʃ t e	s e + n a ʃ t e	n a - θ e ɾ -	n a θ e ɾ
BE_HUNGRY	ə f ə m a t̪ -	ə f ə m a t̪	a f a m - - e	a f a m e	a fː a m a t o	a fː a m a t o	ɪ m p aː s t ʊ s	ɪ m p aː s t ʊ s	- f a m ĩ t u	f a m ĩ t u	f l ə m ɨ n d	f l ə m ɨ n d	a m b ɾ j e n t o	a m b ɾ j e n t o
BIG	g ɾ ɔ s	g ɾ ɔ s	g ʁ ɑ̃ - - -	g ʁ ɑ̃	g r a n d e	g r a n d e	m aː ŋ n ʊ s	m aː ŋ n ʊ s	g r ɐ̃ - d ə	g r ɐ̃ d ə	m a r e	m a r e	g ɾ a n d e	g ɾ a n d e
BIRCH	b ə ð ɔ ʎ -	b ə ð ɔ ʎ	b u l o	b u l o	b e t u lː a	b e t u lː a	b ɛ t ʊ lː a	b ɛ t ʊ lː a	b e t u l a	b e t u l a	m e s t e a k ə n	m e s t e a k ə n	a β e ð u l	a β e ð u l
BIRD	u s ɛ ʎ	u s ɛ ʎ	w a z o	w a z o	u t tʃ e lː o	u t tʃ e lː o	a w ɪ s	a w ɪ s	p a s ɐ r u	p a s ɐ r u	p a s ə r e	p a s ə r e	p a x a ɾ o	p a x a ɾ o
BITE	m u s ə ɣ a	m u s ə ɣ a	m ɔ ʁ d - ʁ ə	m ɔ ʁ d ʁ ə	m ɔ r d e r e	m ɔ r d e r e	m ɔ r d eː r ɛ	m ɔ r d eː r ɛ	m u r ð e r -	m u r ð e r	m u ʃ - k a	m u ʃ k a	m o ɾ ð e ɾ -	m o ɾ ð e ɾ
BITTER	ə m a ɾ - k -	ə m a ɾ k	a m ɛː ʁ - - -	a m ɛː ʁ	a m a r o - -	a m a r o	a k ɛ r b ʊ s	a k ɛ r b ʊ s	ɐ m a r - ɣ u	ɐ m a r ɣ u	a m a r - - -	a m a r	a m a ɾ - ɣ o	a m a ɾ ɣ o
BLACK	n ɛ ɣ ɾ ə	n ɛ ɣ ɾ ə	n w aː ʁ	n w aː ʁ	n e - r o	n e r o	n ɪ g ɛ r	n ɪ g ɛ r	p r e t u	p r e t u	n e g r u	n e g r u	n e ɣ ɾ o	n e ɣ ɾ o
BLANKET	f lˠ ə s a ð ə	f lˠ ə s a ð ə	k u v ɛ ʁ t yː ʁ	k u v ɛ ʁ t yː ʁ	k o p e r t a	k o p e r t a	lˠ oː d iː k s	lˠ oː d iː k s	k u β ə r t o r	k u β ə r t o r	p ə t u r ə	p ə t u r ə	m a n t a	m a n t a
BLIND	s - ɛ k -	s ɛ k	a v œ g l ə	a v œ g l ə	tʃ - ɛ k o	tʃ ɛ k o	k a ɛ k ʊ s	k a ɛ k ʊ s	s - ɛ ɣ u	s ɛ ɣ u	o r b	o r b	θ j e ɣ o	θ j e ɣ o
BLOOD	s a ŋ	s a ŋ	s ɑ̃	s ɑ̃	s a ŋ g - u - e	s a ŋ g u e	s a ŋ gʷ - ɪ s -	s a ŋ gʷ ɪ s	s ɐ̃ - g - ə - -	s ɐ̃ g ə	s ɨ n dʒ e	s ɨ n dʒ e	s a ŋ g ɾ e - -	s a ŋ g ɾ e
BLOW_(OF_WIND)	b u f a	b u f a	s u f l - e - -	s u f l e	s o fː - i a r e	s o fː i a r e	f lˠ aː r ɛ	f lˠ aː r ɛ	ʃ o p r - a r -	ʃ o p r a r	b a t e	b a t e	s o p l - a ɾ -	s o p l a ɾ
BLOW_(WITH_MOUTH)	b u f a	b u f a	s u f l - e - -	s u f l e	s o fː - i a r e	s o fː i a r e	f lˠ aː r ɛ	f lˠ aː r ɛ	ʃ o p r - a r -	ʃ o p r a r	s u f l - a - -	s u f l a	s o p l - a ɾ -	s o p l a ɾ
BLUE	b lˠ a w	b lˠ a w	b l ø -	b l ø	a t ts u rː o	a t ts u rː o	k a ɛ r ʊ lˠ ɛ ʊ s	k a ɛ r ʊ lˠ ɛ ʊ s	ɐ z u lˠ	ɐ z u lˠ	a l b a s t r u	a l b a s t r u	a θ u l	a θ u l
BLUNT	ə z m u s a t̪ -	ə z m u s a t̪	e - m u s e - -	e m u s e	- z m u sː a t o	z m u sː a t o	h ɛ b ɛ s	h ɛ b ɛ s	r õ b u	r õ b u	t o tʃ i t	t o tʃ i t	s i n + f i l o	s i n + f i l o
BOARD	t̪ a w - lˠ ə	t̪ a w lˠ ə	p l ɑ̃ː ʃ	p l ɑ̃ː ʃ	t a v o l a	t a v o l a	t a b ʊ lˠ a	t a b ʊ lˠ a	p r ã ʃ a	p r ã ʃ a	s k ɨ n d u r ə	s k ɨ n d u r ə	t a β - l a	t a β l a
BOAST	ʒ ə k t̪ a ɾ z ə	ʒ ə k t̪ a ɾ z ə	s ə v ɑ̃ t e	s ə v ɑ̃ t e	v a n t a r z i	v a n t a r z i	g lˠ oː r ɪ aː r iː	g lˠ oː r ɪ aː r iː	v ã g l o r j a r ʃ e	v ã g l o r j a r ʃ e	s e + f ə lʲ	s e + f ə lʲ	x a k t a ɾ s e	x a k t a ɾ s e
BOAT	b a ɾ k ə	b a ɾ k ə	b a t - - o	b a t o	b a tː e lː o	b a tː e lː o	n aː w ɪ k ʊ lˠ a	n aː w ɪ k ʊ lˠ a	b a r k u	b a r k u	l u n t r e	l u n t r e	b a ɾ k a	b a ɾ k a
BODY	k ɔ s	k ɔ s	k - ɔː ʁ - - -	k ɔː ʁ	k - o r p o -	k o r p o	k - ɔ r p ʊ s	k ɔ r p ʊ s	k - o r p u -	k o r p u	k - o r p - -	k o r p	k w e ɾ p o -	k w e ɾ p o
BOIL_(OF_LIQUID)	b u ʎ - - i	b u ʎ i	b u j iː ʁ	b u j iː ʁ	b o lː i r e	b o lː i r e	f ɛ r w eː r ɛ	f ɛ r w eː r ɛ	f ə r v e r -	f ə r v e r	k l o k o tʲ	k l o k o tʲ	- e ɾ β i ɾ -	e ɾ β i ɾ
