COGID	CATALAN_REF	CATALAN_SEQ	FRENCH_REF	FRENCH_SEQ	ITALIAN_REF	ITALIAN_SEQ	LATIN_REF	LATIN_SEQ	PORTUGUESE_REF	PORTUGUESE_SEQ	ROMANIAN_REF	ROMANIAN_SEQ	SPANISH_REF	SPANISH_SEQ
APPLE_173					m e l a	m e l a	m aː lˠ ʊ̃	m aː lˠ ʊ̃						
APPLE_174	p ɔ m ə	p ɔ m ə	p ɔ m -	p ɔ m										
APPLE_175													m a n θ a n a	m a n θ a n a
APPLE_176											m ə r	m ə r		
APPLE_177									m ɐ s ɐ̃	m ɐ s ɐ̃				
APRIL_1	ə β ɾ i lˠ - - -	ə β ɾ i lˠ	a v ʁ i l - - -	a v ʁ i l	a p r i l - e -	a p r i l e	a p r iː lˠ - ɪ s	a p r iː lˠ ɪ s	ɐ β r i lˠ - - -	ɐ β r i lˠ	a p r i l j e -	a p r i l j e	a β ɾ i l - - -	a β ɾ i l
AREA_178	r ə ʒ - i o -	r ə ʒ i o	ʁ e ʒ j ɔ̃ - -	ʁ e ʒ j ɔ̃			r ɛ g - ɪ oː -	r ɛ g ɪ oː	ʀ ə ʒ j ɐ̃ - w	ʀ ə ʒ j ɐ̃ w			ɾ e x j o - n	ɾ e x j o n
AREA_179					r e dʒ o - n e	r e dʒ o n e					r e dʒ i w n e	r e dʒ i w n e		
AREA_180	k u n̪ t̪ ɾ a ð ə	k u n̪ t̪ ɾ a ð ə	k ɔ̃ - t ʁ - - e	k ɔ̃ t ʁ e										
AREA_181									a r j a	a r j a				
AREA_182													k o m a ɾ k a	k o m a ɾ k a
AREA_183							lˠ oː k a	lˠ oː k a						
ARM_184	b ɾ a - s -	b ɾ a s	b ʁ a - - -	b ʁ a	b r a t tʃ o	b r a t tʃ o			b r a - s u	b r a s u	b r a - ts -	b r a ts	b ɾ a - θ o	b ɾ a θ o
ARM_185							b r a kː h ɪ ʊ̃	b r a kː h ɪ ʊ̃						
ARRIVE_186	ə r i β - - a	ə r i β a	a ʁ i v - - e	a ʁ i v e	a rː i v a r e	a rː i v a r e								
ARRIVE_187									ʃ ə ɣ a r	ʃ ə ɣ a r			ʝ e ɣ a ɾ	ʝ e ɣ a ɾ
ARRIVE_188											a ʒ u n dʒ e	a ʒ u n dʒ e		
ARRIVE_189											s o sʲ	s o sʲ		
ARRIVE_190							a d w ɛ n iː r ɛ	a d w ɛ n iː r ɛ						
ARROW_191	f lˠ ɛ tʃ ə	f lˠ ɛ tʃ ə	f l ɛ ʃ -	f l ɛ ʃ					f l e ʃ a	f l e ʃ a			f l e tʃ a	f l e tʃ a
ARROW_192							s a g ɪ tː a	s a g ɪ tː a	ʃ e - - t a	ʃ e t a				
ARROW_193											s ə dʒ e a t ə	s ə dʒ e a t ə		
ARROW_194					f r e t tʃ a	f r e t tʃ a								
ASH_195	s ɛ n ð ɾ ə	s ɛ n ð ɾ ə	s ɑ̃ - d ʁ ə	s ɑ̃ d ʁ ə										
ASH_196													θ e n i θ a	θ e n i θ a
ASH_197											tʃ e n u ʃ ə	tʃ e n u ʃ ə		
ASH_198									s ĩ z a	s ĩ z a				
ASH_199							k ɪ n ɪ s	k ɪ n ɪ s						
ASH_200					tʃ e n e r e	tʃ e n e r e								
ASK_(INQUIRE)_201	p - ɾ ə ɣ u n̪ t̪ a -	p ɾ ə ɣ u n̪ t̪ a							p ə r - ɣ ũ - t a r	p ə r ɣ ũ t a r			p - ɾ e ɣ u n t a ɾ	p ɾ e ɣ u n t a ɾ
ASK_(INQUIRE)_202					k i ɛ d e r e	k i ɛ d e r e	kʷ a ɛ r ɛ r ɛ	kʷ a ɛ r ɛ r ɛ						
ASK_(INQUIRE)_203			d ə m ɑ̃ - d - - e	d ə m ɑ̃ d e	d o m a n d a r e	d o m a n d a r e								
ASK_(INQUIRE)_204											ɨ n t r e b a	ɨ n t r e b a		
ASK_(INQUIRE)_205							r ɔ g aː r ɛ	r ɔ g aː r ɛ						
ASK_(REQUEST)_3000					p r e g a r e	p r e g a r e	- r ɔ g aː r ɛ	r ɔ g aː r ɛ					- ɾ o ɣ a ɾ -	ɾ o ɣ a ɾ
ASK_(REQUEST)_3001			p ʁ i e	p ʁ i e										
ASK_(REQUEST)_3002											r u g a	r u g a		
ASK_(REQUEST)_3003									p ə ð i r	p ə ð i r				
ASK_(REQUEST)_3004	d̪ ə m ə n a	d̪ ə m ə n a												
ASSEMBLE_(GET_TOGETHER)_206	r ə w - n i ɾ z ə	r ə w n i ɾ z ə			r i n u n i r z i	r i n u n i r z i			ʀ - j u n i r s ə	ʀ j u n i r s ə			ɾ e - u n i ɾ s e	ɾ e u n i ɾ s e
ASSEMBLE_(GET_TOGETHER)_207													k o ŋ g ɾ e ɣ a ɾ s e	k o ŋ g ɾ e ɣ a ɾ s e
ASSEMBLE_(GET_TOGETHER)_208											s e + a d u n a	s e + a d u n a		
ASSEMBLE_(GET_TOGETHER)_209							k ɔ n w ɛ n iː r ɛ	k ɔ n w ɛ n iː r ɛ						
ASSEMBLE_(GET_TOGETHER)_210			s a s ɑ̃ b l e	s a s ɑ̃ b l e										
AT_FIRST_211	- - p ɾ i m - - - - - ɛ	p ɾ i m ɛ	- - p ʁ ə m - j ɛː ʁ m ɑ̃	p ʁ ə m j ɛː ʁ m ɑ̃	d a pː r i m - - - - - a	d a pː r i m a	- - p r iː m - - - - - oː	p r iː m oː	- - p r i m e j - r - u	p r i m e j r u			- - p ɾ i m e - - ɾ - o	p ɾ i m e ɾ o
AT_FIRST_212											ɨ n + p r i m u l + r ɨ n d	ɨ n + p r i m u l + r ɨ n d		
AT_FIRST_213											ɨ n t ɨ j	ɨ n t ɨ j		
AT_FIRST_214			d a b ɔː ʁ	d a b ɔː ʁ										
AT_THAT_TIME_222											p e + a t u n tʃʲ	p e + a t u n tʃʲ		
AT_THAT_TIME_223			a l ɔː ʁ -	a l ɔː ʁ	a lː o r a	a lː o r a								
AT_THAT_TIME_224			a l e p ɔ k	a l e p ɔ k										
AT_THAT_TIME_225	ə lˠ ə z ɔ ɾ ə s	ə lˠ ə z ɔ ɾ ə s												
AT_THAT_TIME_226													e n t o n θ e s	e n t o n θ e s
AT_THAT_TIME_227									ẽ t ɐ̃ w	ẽ t ɐ̃ w				
AT_THAT_TIME_228							t ʊ m	t ʊ m						
AT_THAT_TIME_229	ʎ ə β ɔ ɾ s	ʎ ə β ɔ ɾ s												
AUGUST_2	ə - ɣ - - - ɔ s	ə ɣ ɔ s			a - g o s t o -	a g o s t o	a ʊ gʷ - s t ʊ s	a ʊ gʷ s t ʊ s	ɐ - ɣ ɔ ʃ t u -	ɐ ɣ ɔ ʃ t u			a - ɣ o s t o -	a ɣ o s t o
AUGUST_3											a w g u s t	a w g u s t		
AUGUST_4			u t	u t										
AUNT_230	t̪ i ə	t̪ i ə			ts i a	ts i a			t i ɐ	t i ɐ			t i a	t i a
AUNT_231											m ə t u ʃ ə	m ə t u ʃ ə		
AUNT_232							a m ɪ t a	a m ɪ t a						
AUNT_233			t ɑ̃ː t	t ɑ̃ː t										
AUTUMN_234			o - t ɔ - n - -	o t ɔ n	a u t u - nː o -	a u t u nː o	a ʊ t ʊ m n ʊ s	a ʊ t ʊ m n ʊ s	o - t o - n u -	o t o n u			o - t o - ɲ o -	o t o ɲ o
AUTUMN_235											t o a m n ə	t o a m n ə		
AUTUMN_236	t̪ ə ɾ ð ɔ	t̪ ə ɾ ð ɔ												
A_LITTLE_71					u n + p o k - - o	u n + p o k o			ũ - + b u k a ð u	ũ + b u k a ð u			u n + p o k - - o	u n + p o k o
A_LITTLE_72			œ̃ p ø	œ̃ p ø										
A_LITTLE_73											p u ts i n	p u ts i n		
A_LITTLE_74							p a ʊ lˠ ʊ̃	p a ʊ lˠ ʊ̃						
A_LITTLE_75	u n ə + m i k ə	u n ə + m i k ə												
BACKWARD_258													a θ j a + a t ɾ a s	a θ j a + a t ɾ a s
BACKWARD_259											ɨ n d ə r ə t	ɨ n d ə r ə t		
BACKWARD_260									p ɐ r ɐ + t r a ʃ	p ɐ r ɐ + t r a ʃ				
BACKWARD_261							r ɛ t r oː	r ɛ t r oː						
BACKWARD_262					a lː i n d i e t r o	a lː i n d i e t r o								
BACKWARD_263			ɑ̃ n a ʁ j ɛː ʁ	ɑ̃ n a ʁ j ɛː ʁ										
BACKWARD_264	ə n ð ə r ɛ ɾ ə	ə n ð ə r ɛ ɾ ə												
BACK_(DIRECTION)_243									ɐ t r a ʃ	ɐ t r a ʃ			a t ɾ a s	a t ɾ a s
BACK_(DIRECTION)_247											ɨ n a p o j	ɨ n a p o j		
BACK_(DIRECTION)_249					d i + i n d i e t r o	d i + i n d i e t r o								
BACK_(DIRECTION)_252							r ɛ t r oː	r ɛ t r oː						
BACK_(DIRECTION)_253			d ə ʁ ə t uː ʁ	d ə ʁ ə t uː ʁ										
BACK_(DIRECTION)_254	d̪ ə r ɛ ɾ ə	d̪ ə r ɛ ɾ ə												
BACK_244					d o r z o	d o r z o			d o r ʃ u	d o r ʃ u				
BACK_245	ə s k - ɛ n ə	ə s k ɛ n ə			- s k j e n a	s k j e n a								
BACK_246							t ɛ r g̃ʷ	t ɛ r g̃ʷ						
BACK_248											s p i n a r e	s p i n a r e		
BACK_250											s p a t e	s p a t e		
BACK_251									k ɔ ʃ t ɐ ʃ	k ɔ ʃ t ɐ ʃ				
BACK_255													e s p a l d a	e s p a l d a
BACK_256											d o s	d o s		
BACK_257			d o	d o										
BAD_265							m a lˠ ʊ s	m a lˠ ʊ s					m a l o -	m a l o
BAD_266											p r o s t	p r o s t		
BAD_267									ʀ w ĩ	ʀ w ĩ				
BAD_268											r ə w	r ə w		
BAD_269									m a w	m a w				
BAD_270			m o v ɛ	m o v ɛ										
BAD_271	d̪ u lˠ ɛ n̪	d̪ u lˠ ɛ n̪												
BAD_272					k a tː i v o	k a tː i v o								
BAD_LUCK_2448	d̪ ə s ɣ ɾ a s i - a	d̪ ə s ɣ ɾ a s i a							d ə ʒ ɣ r a s - - ɐ	d ə ʒ ɣ r a s ɐ			d e z ɣ ɾ a θ - j a	d e z ɣ ɾ a θ j a
BAD_LUCK_2449							k a lˠ a m ɪ t aː s	k a lˠ a m ɪ t aː s						
BAD_LUCK_2450											n e n o r o tʃ i r e	n e n o r o tʃ i r e		
BAD_LUCK_2451							m ɪ s ɛ r ɪ a	m ɪ s ɛ r ɪ a						
BAD_LUCK_2452					s f o r t u n a	s f o r t u n a								
BAD_LUCK_2453			m a l œː ʁ	m a l œː ʁ										
BAG_273	b ɔ - s ə	b ɔ s ə			b o r z a	b o r z a			b ɔ lˠ s u	b ɔ lˠ s u			b o l s o	b o l s o
BAG_274			s a k -	s a k					s a k u	s a k u				
BAG_275							s a kː ʊ lˠ ʊ s	s a kː ʊ lˠ ʊ s						
BAG_276											dʒ e a n t ə	dʒ e a n t ə		
BAKE_277	k u - w - ɾ ə + ə lˠ + f ɔ ɾ n -	k u w ɾ ə + ə lˠ + f ɔ ɾ n			k u ɔ tʃ e r e + a l + f o r n o	k u ɔ tʃ e r e + a l + f o r n o							k o - θ e ɾ - + a l + - o ɾ n o	k o θ e ɾ + a l + o ɾ n o
BAKE_278					k u ɔ tʃ e r e	k u ɔ tʃ e r e	k ɔ - kʷ ɛ r ɛ	k ɔ kʷ ɛ r ɛ	k u - z e r -	k u z e r				
BAKE_279													o ɾ n e a ɾ	o ɾ n e a ɾ
BAKE_280											k o a tʃ e	k o a tʃ e		
BAKE_281			k ɥ iː ʁ	k ɥ iː ʁ										
BARKING_282	ʎ ə ð ɾ - - a	ʎ ə ð ɾ a			l a t r a r e	l a t r a r e	lˠ a t r aː r ɛ	lˠ a t r aː r ɛ	l a ð r a r -	l a ð r a r	l ə t r - - a	l ə t r a	l a ð ɾ a ɾ -	l a ð ɾ a ɾ
BARKING_285					a bː a i a r e	a bː a i a r e								
BARKING_286			a b w a j e	a b w a j e										
BARK_283					k o r t e t tʃ a	k o r t e t tʃ a	k ɔ r t ɛ k s -	k ɔ r t ɛ k s					k o ɾ t e - θ a	k o ɾ t e θ a
BARK_284	ə s k ɔ - ɾ s ə	ə s k ɔ ɾ s ə	e - k ɔ - ʁ s -	e k ɔ ʁ s							- s k o a r ts ə	s k o a r ts ə		
BARK_287									k a ʃ k a	k a ʃ k a				
BATHE_288	b ə ɲ a ɾ z ə	b ə ɲ a ɾ z ə			b a ɲː a r z i	b a ɲː a r z i			b a ɲ a r - -	b a ɲ a r			b a ɲ a ɾ s e	b a ɲ a ɾ s e
BATHE_289									t u m a r + b ɐ ɲ u	t u m a r + b ɐ ɲ u				
BATHE_290					f a r e + i l + b a ɲː o	f a r e + i l + b a ɲː o								
BATHE_291											s e + s k ə l d a	s e + s k ə l d a		
BATHE_292							lˠ a w aː r iː	lˠ a w aː r iː						
BATHE_293			s ə b ɛ ɲ e	s ə b ɛ ɲ e										
BAY_933	k a lˠ ə	k a lˠ ə			k a l a	k a l a							k a l a	k a l a
BAY_934	b ə ð i ə	b ə ð i ə							b a - i a	b a i a			b a - i a	b a i a
BAY_935											g o l f	g o l f		
BAY_936							s ɪ n ʊ s	s ɪ n ʊ s						
BAY_937			b ɛ	b ɛ										
BEARD_336	b a ɾ β ə	b a ɾ β ə	b a ʁ b -	b a ʁ b	b a r b a	b a r b a	b a r b a	b a r b a	b a r b ɐ	b a r b ɐ	b a r b ə	b a r b ə	b a ɾ β a	b a ɾ β a
BEAR_334			u ʁ s - -	u ʁ s	o r z o -	o r z o	ʊ r s ʊ s	ʊ r s ʊ s	u r ʃ u -	u r ʃ u	u r s - -	u r s	o - s o -	o s o
BEAR_335	o s	o s												
BEAUTIFUL_342					b e lː o	b e lː o			b e l u	b e l u			b e ʝ o	b e ʝ o
BEAUTIFUL_343							f oː r m oː s ʊ s	f oː r m oː s ʊ s					- e ɾ m o s o -	e ɾ m o s o
BEAUTIFUL_344	b u n i k -	b u n i k							b u n i t u	b u n i t u				
BEAUTIFUL_345							p ʊ lˠ k h ɛ r	p ʊ lˠ k h ɛ r						
BEAUTIFUL_346											f r u m o s	f r u m o s		
BEAUTIFUL_347			b o	b o										
BECAUSE_OF_348	- ə - + k ə w - z ə + d̪ ɛ	ə + k ə w z ə + d̪ ɛ			- a - + k a - u z a + d i	a + k a u z a + d i			p u r + k a w - z ɐ + d ə	p u r + k a w z ɐ + d ə			- a - + k a - u s a + ð e	a + k a u s a + ð e
BECAUSE_OF_349									p u r	p u r			p o ɾ	p o ɾ
BECAUSE_OF_350											p e n t r u	p e n t r u		
BECAUSE_OF_351							p r ɔ p t ɛ r	p r ɔ p t ɛ r						
BECAUSE_OF_352			a k o z d ə	a k o z d ə										
BECOME_353	f ɛ ɾ z ə	f ɛ ɾ z ə			f a r z i	f a r z i								
BECOME_354											s e + f a tʃ e	s e + f a tʃ e		
BECOME_355					d i v e n t a r e	d i v e n t a r e								
BECOME_356	p u z a ɾ z ə	p u z a ɾ z ə												
BECOME_357													a θ e ɾ s e	a θ e ɾ s e
BECOME_358											d e v e nʲ	d e v e nʲ		
BECOME_359									t u r n a r s ə	t u r n a r s ə				
BECOME_360							f ɪ ɛ r iː	f ɪ ɛ r iː						
BECOME_361			d ə v n iː ʁ	d ə v n iː ʁ										
BECOME_SICK_1364									f i k a r ð w ə n t e	f i k a r ð w ə n t e				
BECOME_SICK_1365													k a e ɾ + e ɱ f e ɾ m o	k a e ɾ + e ɱ f e ɾ m o
BECOME_SICK_1366											s e + ɨ m b o l n ə vʲ	s e + ɨ m b o l n ə vʲ		
BECOME_SICK_1367									ɐ ð w ə s e r	ɐ ð w ə s e r				
BECOME_SICK_1368							a ɛ g r eː s k ɛ r ɛ	a ɛ g r eː s k ɛ r ɛ						
BECOME_SICK_1369					a mː a l a r z i	a mː a l a r z i								
BECOME_SICK_1370			t ɔ̃ b e + m a l a d	t ɔ̃ b e + m a l a d										
BECOME_SICK_1371	p u z ə ɾ z ə + m ə lˠ a lˠ	p u z ə ɾ z ə + m ə lˠ a lˠ												
BED_362	ʎ i - t̪ - -	ʎ i t̪	l i - - - -	l i	l e - tː o -	l e tː o	lˠ ɛ k t ʊ s	lˠ ɛ k t ʊ s						
BED_363									k ɐ m ɐ	k ɐ m ɐ			k a m a	k a m a
BED_364											p a t	p a t		
BEFORE_365							a n t ɛ - aː	a n t ɛ aː	ɐ̃ - t ə ʃ -	ɐ̃ t ə ʃ			a n t e s -	a n t e s
BEFORE_366					p r i m a	p r i m a								
BEFORE_367											ɨ n + p r e a l a b i l	ɨ n + p r e a l a b i l		
BEFORE_368											m a j + ɨ n t ɨ j	m a j + ɨ n t ɨ j		
BEFORE_369			o p a ʁ a v ɑ̃	o p a ʁ a v ɑ̃										
BEFORE_370	ə β a n s	ə β a n s												
BEGIN_3595	i n i s - i a - -	i n i s i a			i n i ts - i a r e	i n i ts i a r e			i n i s j - a r -	i n i s j a r			i n i θ j - a ɾ -	i n i θ j a ɾ
BEGIN_3596					k o m i n tʃ a r e	k o m i n tʃ a r e								
BEGIN_3597											ɨ n tʃ e p e	ɨ n tʃ e p e		
BEGIN_3598							ɪ ŋ k ɪ p ɛ r ɛ	ɪ ŋ k ɪ p ɛ r ɛ						
BEGIN_3599			k ɔ m ɑ̃ s e	k ɔ m ɑ̃ s e										
BEHIND_376									- ɐ t r a ʃ + d ə	ɐ t r a ʃ + d ə			d e t ɾ a s + ð e	d e t ɾ a s + ð e
BEHIND_377	d̪ ə r - ɛ ɾ ə	d̪ ə r ɛ ɾ ə	d ɛ ʁ j ɛː ʁ -	d ɛ ʁ j ɛː ʁ										
BEHIND_378											ɨ n + s p a t e l e	ɨ n + s p a t e l e		
BEHIND_379													t ɾ a s	t ɾ a s
BEHIND_380											d u p ə	d u p ə		
BEHIND_381							p ɔ s t	p ɔ s t						
BEHIND_382					d i e t r o	d i e t r o								
BELIEVE_383	k ɾ - ɛ w - ɾ ə	k ɾ ɛ w ɾ ə	k ʁ w aː - - ʁ -	k ʁ w aː ʁ	k r - e d e r e	k r e d e r e	k r - eː d ɛ r ɛ	k r eː d ɛ r ɛ	k r - e - - r -	k r e r	k r - e d - - e	k r e d e	k ɾ - e - e ɾ -	k ɾ e e ɾ
BELLY_384			v - ɑ̃ː - t - ʁ ə	v ɑ̃ː t ʁ ə	v - e n t - r e	v e n t r e	w - ɛ n t ɛ r -	w ɛ n t ɛ r	v - ẽ - t - r ə	v ẽ t r ə			b j e n t - ɾ e	b j e n t ɾ e
BELLY_385											p ɨ n t e tʃ e	p ɨ n t e tʃ e		
BELLY_386									b ɐ ʀ i ɣ ɐ	b ɐ ʀ i ɣ ɐ				
BELLY_387											b u r t ə	b u r t ə		
BELLY_388	p a ɲ ʃ ə	p a ɲ ʃ ə												
BELOW_OR_UNDER_4122			s u -	s u			s ʊ b	s ʊ b			s u b	s u b		
BELOW_OR_UNDER_4123									d ə β a j ʃ u + d ə	d ə β a j ʃ u + d ə			d e β a - x o + ð e	d e β a x o + ð e
BELOW_OR_UNDER_4124	s ɔ t̪ ə	s ɔ t̪ ə			s o tː o	s o tː o								
BELOW_OR_UNDER_4125			o d s u + d ə	o d s u + d ə										
BELOW_OR_UNDER_4126													b a x o	b a x o
BELOW_OR_UNDER_4127									s o b	s o b				
BELT_399	s i n̪ t̪ u ɾ o -	s i n̪ t̪ u ɾ o	s ɛ̃ - t yː ʁ - -	s ɛ̃ t yː ʁ	tʃ i n t u r a -	tʃ i n t u r a							θ i n t u ɾ o n	θ i n t u ɾ o n
BELT_400											k o r d o n	k o r d o n		
BELT_401									s ĩ t u	s ĩ t u				
BELT_402							k ɪ ŋ gʷ lˠ ʊ̃	k ɪ ŋ gʷ lˠ ʊ̃						
BEND_(SOMETHING)_403	k u ɾ β a	k u ɾ β a	k u ʁ b e	k u ʁ b e										
BEND_(SOMETHING)_404											ɨ n k o v o j a	ɨ n k o v o j a		
BEND_(SOMETHING)_405	ə ɾ k ə ʒ a	ə ɾ k ə ʒ a												
BEND_(SOMETHING)_406													d o β l a ɾ	d o β l a ɾ
BEND_(SOMETHING)_407											ɨ n d o j	ɨ n d o j		
BEND_(SOMETHING)_408									v e r ɣ a r	v e r ɣ a r				
BEND_(SOMETHING)_409							k ʊ r w aː r ɛ	k ʊ r w aː r ɛ						
BEND_(SOMETHING)_410					t ɔ r tʃ e r e	t ɔ r tʃ e r e								
BENEFIT_411	p ɾ u f i - t̪ -	p ɾ u f i t̪	p ʁ ɔ f i - - -	p ʁ ɔ f i	p r o f i - tː o	p r o f i tː o			p r o v e j t u	p r o v e j t u	p r o f i - t -	p r o f i t	p ɾ o β e - tʃ o	p ɾ o β e tʃ o
BENEFIT_412											f o l o s	f o l o s		
BENEFIT_413							uː t ɪ lˠ ɪ t aː s	uː t ɪ lˠ ɪ t aː s						
BENEFIT_414					u t i l e	u t i l e								
BERRY_415					b a kː a	b a kː a	b aː k a	b aː k a	b a ɣ u	b a ɣ u			b a ʝ a	b a ʝ a
BERRY_416											b o a b ə	b o a b ə		
BERRY_417	b a j ə	b a j ə												
BERRY_418			b ɛ	b ɛ										
BETWEEN_419	- ɛ n̪ t̪ - ɾ ə	ɛ n̪ t̪ ɾ ə	- ɑ̃ː - t - ʁ ə	ɑ̃ː t ʁ ə			- ɪ n t ɛ r -	ɪ n t ɛ r	- ẽ - t - r ə	ẽ t r ə	d i n t - r e	d i n t r e	- e n t - ɾ e	e n t ɾ e
BETWEEN_420					f r a	f r a								
BE_ABLE_680			p u v w aː ʁ -	p u v w aː ʁ	s a p - e r e	s a p e r e			s ɐ β - e r -	s ɐ β e r				
BE_ABLE_681	p u ð ɛ -	p u ð ɛ					p ɔ sː ɛ -	p ɔ sː ɛ					p o ð e ɾ	p o ð e ɾ
BE_ABLE_682											ʃ t i	ʃ t i		
BE_ABLE_683											p u t e a	p u t e a		
