COGID	CATALAN_REF	CATALAN_SEQ	FRENCH_REF	FRENCH_SEQ	ITALIAN_REF	ITALIAN_SEQ	LATIN_REF	LATIN_SEQ	PORTUGUESE_REF	PORTUGUESE_SEQ	ROMANIAN_REF	ROMANIAN_SEQ	SPANISH_REF	SPANISH_SEQ
ACHE_87	d̪ - ɔ lˠ d̪ - ɾ ə	d̪ ɔ lˠ d̪ ɾ ə			d - o l - e r e	d o l e r e	d - ɔ lˠ - eː r ɛ	d ɔ lˠ eː r ɛ	d w e - - - r -	d w e r			d - o l - e ɾ -	d o l e ɾ
ACHE_88											d u r e a	d u r e a		
ACHE_89			f ɛː ʁ + m a l	f ɛː ʁ + m a l										
ADD_90					a d dʒ u n dʒ e r e	a d dʒ u n dʒ e r e	a - - - - dː ɛ r ɛ	a dː ɛ r ɛ						
ADD_91													a ɲ a ð i ɾ	a ɲ a ð i ɾ
ADD_92											a d ə w g a	a d ə w g a		
ADD_93									ɐ k r ə ʃ s ẽ t a r	ɐ k r ə ʃ s ẽ t a r				
ADD_94	ə f ə ʒ i	ə f ə ʒ i												
ADD_95			a ʒ u t e	a ʒ u t e										
AFFAIR_2374	ə f - - ɛ - -	ə f ɛ	a f - - ɛː ʁ -	a f ɛː ʁ	a fː - - a r e	a fː a r e					a f a tʃ e r e	a f a tʃ e r e		
AFFAIR_2375									ɐ s ũ - t u	ɐ s ũ t u			a s u n t o	a s u n t o
AFFAIR_2376	ə s u m p t̪ ə	ə s u m p t̪ ə												
AFFAIR_2377					f a t tʃ e n d a	f a t tʃ e n d a								
AFFAIR_2378							r eː s	r eː s						
AFTERWARDS_100									l ɔ ɣ u	l ɔ ɣ u				
AFTERWARDS_101							p ɔ s t ɛ aː	p ɔ s t ɛ aː						
AFTERWARDS_102					p o i	p o i								
AFTERWARDS_103			a p ʁ ɛ	a p ʁ ɛ										
AFTERWARDS_96	d̪ ə s p ɾ e - s	d̪ ə s p ɾ e s							d ə - p - o j ʃ	d ə p o j ʃ			d e s p w e - s	d e s p w e s
AFTERWARDS_97					d o p o	d o p o								
AFTERWARDS_98			ɑ̃ s ɥ i t	ɑ̃ s ɥ i t										
AFTERWARDS_99											d u p ə + a tʃ e a s t a	d u p ə + a tʃ e a s t a		
AGAIN_104	d̪ ə + n - ɔ - w -	d̪ ə + n ɔ w			d i + n - u o v o	d i + n u o v o							d e + n w e - β o	d e + n w e β o
AGAIN_105											j a r ə ʃʲ	j a r ə ʃʲ		
AGAIN_106											j a r	j a r		
AGAIN_107									o t r ɐ + v e ʃ	o t r ɐ + v e ʃ				
AGAIN_108							r uː r s ʊ s	r uː r s ʊ s						
AGAIN_109			d ə n u v o	d ə n u v o										
AGE_110	ə ð a t̪ -	ə ð a t̪							ɪ ð a ð ə	ɪ ð a ð ə			e ð a ð -	e ð a ð
AGE_111											v ɨ r s t ə	v ɨ r s t ə		
AGE_112											j e t a t e	j e t a t e		
AGE_113							a ɛ t aː s	a ɛ t aː s						
AGE_114					e t a	e t a								
AGE_115			aː ʒ	aː ʒ										
AIR_129			- ɛː ʁ	ɛː ʁ			aː eː r	aː eː r	- a r	a r	a e r	a e r		
AIR_130													a i ɾ e	a i ɾ e
AIR_131					a r i a	a r i a								
AIR_132	a j ɾ ə	a j ɾ ə												
ALL_1325	t̪ ɔ t̪ -	t̪ ɔ t̪	t u - -	t u	t u tː o	t u tː o			t o ð u	t o ð u	t o t -	t o t	t o ð o	t o ð o
ALL_1326							ɔ m n ɪ a	ɔ m n ɪ a						
ALONE_133	- - - s ɔ lˠ -	s ɔ lˠ	- - - s œ l -	s œ l	d a + s o l o	d a + s o l o	- - - s oː lˠ ʊ̃	s oː lˠ ʊ̃	- - - s ɔ - -	s ɔ			- a + s o l o	a + s o l o
ALONE_134											s i n g u r	s i n g u r		
ALREADY_135	ʒ a	ʒ a							ʒ a	ʒ a	ʃ i	ʃ i	ʝ a	ʝ a
ALREADY_136			d e ʒ a	d e ʒ a							d e ʒ a	d e ʒ a		
ALREADY_137							ɪ ã	ɪ ã						
ALREADY_138					dʒ a	dʒ a								
ALWAYS_145	s - ɛ m p - ɾ ə	s ɛ m p ɾ ə			s - e m p - r e	s e m p r e	s - ɛ m p ɛ r -	s ɛ m p ɛ r	s - ẽ - p - r ə	s ẽ p r ə			s j e m p - ɾ e	s j e m p ɾ e
ALWAYS_146											ɨ n t o t d e a w n a	ɨ n t o t d e a w n a		
ALWAYS_147											m e r e w	m e r e w		
ALWAYS_148			t u ʒ uː ʁ	t u ʒ uː ʁ										
AMOUNT_149	k w ə n̪ t̪ i t̪ a t̪ -	k w ə n̪ t̪ i t̪ a t̪	k - ɑ̃ - t i t e - -	k ɑ̃ t i t e	k w a n t i t a - -	k w a n t i t a			k w ɐ̃ - t i ð a ð ə	k w ɐ̃ t i ð a ð ə	k - a n t i t a t e	k a n t i t a t e	k - a n t i ð a ð -	k a n t i ð a ð
AMOUNT_150							k oː p ɪ a	k oː p ɪ a						
AND_151	i	i							i	i			i	i
AND_152			e	e	e	e								
AND_153							kʷ ɛ	kʷ ɛ						
AND_154											ʃ i	ʃ i		
AND_155							ɛ t	ɛ t						
ANIMAL_162	ə n i m a lˠ -	ə n i m a lˠ	a n i m a l -	a n i m a l	a n i m a l e	a n i m a l e			ɐ n i m a lˠ -	ɐ n i m a lˠ	a n i m a l -	a n i m a l	a n i m a l -	a n i m a l
ANIMAL_163					b e s t i a	b e s t i a	b eː s t ɪ a	b eː s t ɪ a						
ANT_171	f u ɾ m i ɣ ə	f u ɾ m i ɣ ə	f u ʁ m - - i	f u ʁ m i	f o r m i k a	f o r m i k a	f ɔ r m iː k a	f ɔ r m iː k a	f o r m i ɣ a	f o r m i ɣ a	f u r n i k ə	f u r n i k ə	- o ɾ m i ɣ a	o ɾ m i ɣ a
