Gloss	Lang_A	Lang_B	Accuracy	Precision	Recall	F1
lanam	Lombard(West)	Occitan	0.5000	0.5000	0.5000	0.5000
lanam	Lombard(West)	Venetian	1.0000	1.0000	1.0000	1.0000
lanam	Occitan	Venetian	0.5000	0.5000	0.5000	0.5000
linguam	French	Italian	1.0000	1.0000	1.0000	1.0000
linguam	French	Ligurian	1.0000	1.0000	1.0000	1.0000
linguam	French	Lombard(East)	1.0000	1.0000	1.0000	1.0000
linguam	French	Lombard(West)	1.0000	1.0000	1.0000	1.0000
linguam	French	Venetian	1.0000	1.0000	1.0000	1.0000
linguam	Italian	Ladino	0.6667	0.6667	0.6667	0.6667
linguam	Italian	Ligurian	1.0000	1.0000	1.0000	1.0000
linguam	Italian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
linguam	Italian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
linguam	Italian	Occitan	0.6667	0.6667	0.6667	0.6667
linguam	Italian	Venetian	1.0000	1.0000	1.0000	1.0000
linguam	Ladino	Ligurian	1.0000	1.0000	1.0000	1.0000
linguam	Ladino	Lombard(East)	0.6667	0.6667	0.6667	0.6667
linguam	Ladino	Lombard(West)	1.0000	1.0000	1.0000	1.0000
linguam	Ladino	Venetian	0.6667	0.6667	0.6667	0.6667
linguam	Ligurian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
linguam	Ligurian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
linguam	Ligurian	Occitan	0.6667	0.6667	0.6667	0.6667
linguam	Ligurian	Venetian	1.0000	1.0000	1.0000	1.0000
linguam	Lombard(East)	Lombard(West)	1.0000	1.0000	1.0000	1.0000
linguam	Lombard(East)	Occitan	0.6667	0.6667	0.6667	0.6667
linguam	Lombard(East)	Venetian	1.0000	1.0000	1.0000	1.0000
linguam	Lombard(West)	Occitan	0.6667	0.6667	0.6667	0.6667
linguam	Lombard(West)	Venetian	1.0000	1.0000	1.0000	1.0000
linguam	Occitan	Venetian	0.6667	0.6667	0.6667	0.6667
lunam	French	Italian	1.0000	1.0000	1.0000	1.0000
lunam	French	Ladino	1.0000	1.0000	1.0000	1.0000
lunam	French	Lombard(East)	1.0000	1.0000	1.0000	1.0000
lunam	French	Lombard(West)	1.0000	1.0000	1.0000	1.0000
lunam	French	Venetian	1.0000	1.0000	1.0000	1.0000
lunam	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
lunam	Italian	Ligurian	0.5000	0.5000	0.5000	0.5000
lunam	Italian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
lunam	Italian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
lunam	Italian	Occitan	0.5000	0.5000	0.5000	0.5000
lunam	Italian	Venetian	1.0000	1.0000	1.0000	1.0000
lunam	Ladino	Ligurian	1.0000	1.0000	1.0000	1.0000
lunam	Ladino	Lombard(East)	1.0000	1.0000	1.0000	1.0000
lunam	Ladino	Lombard(West)	1.0000	1.0000	1.0000	1.0000
lunam	Ladino	Occitan	0.5000	0.5000	0.5000	0.5000
lunam	Ladino	Venetian	1.0000	1.0000	1.0000	1.0000
lunam	Ligurian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
lunam	Ligurian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
lunam	Ligurian	Venetian	0.5000	0.5000	0.5000	0.5000
lunam	Lombard(East)	Lombard(West)	1.0000	1.0000	1.0000	1.0000
lunam	Lombard(East)	Occitan	0.5000	0.5000	0.5000	0.5000
lunam	Lombard(East)	Venetian	1.0000	1.0000	1.0000	1.0000
lunam	Lombard(West)	Occitan	0.5000	0.5000	0.5000	0.5000
lunam	Lombard(West)	Venetian	1.0000	1.0000	1.0000	1.0000
lunam	Occitan	Venetian	0.5000	0.5000	0.5000	0.5000
manum	French	Italian	1.0000	1.0000	1.0000	1.0000
manum	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
manum	Italian	Ligurian	1.0000	1.0000	1.0000	1.0000
manum	Italian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
manum	Italian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
manum	Italian	Occitan	1.0000	1.0000	1.0000	1.0000
manum	Italian	Venetian	1.0000	1.0000	1.0000	1.0000
mare	French	Italian	1.0000	1.0000	1.0000	1.0000
mare	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
mare	Italian	Ligurian	1.0000	1.0000	1.0000	1.0000
mare	Italian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
mare	Italian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
mare	Italian	Occitan	1.0000	1.0000	1.0000	1.0000
mare	Italian	Venetian	1.0000	1.0000	1.0000	1.0000
octo	French	Ligurian	0.5000	0.5000	0.5000	0.5000
octo	French	Venetian	0.5000	0.5000	0.5000	0.5000
octo	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
octo	Italian	Lombard(East)	0.0000	0.0000	0.0000	0.0000
octo	Italian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
octo	Ladino	Ligurian	0.5000	0.5000	0.5000	0.5000
octo	Ladino	Venetian	0.5000	0.5000	0.5000	0.5000
octo	Ligurian	Lombard(West)	0.5000	0.5000	0.5000	0.5000
octo	Lombard(West)	Venetian	0.5000	0.5000	0.5000	0.5000
ovum	French	Italian	0.2500	0.2500	0.2500	0.2500
ovum	French	Venetian	0.2500	0.2500	0.2500	0.2500
ovum	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
ovum	Italian	Ligurian	0.5000	0.5000	0.5000	0.5000
ovum	Italian	Lombard(East)	0.2500	0.2500	0.2500	0.2500
ovum	Italian	Lombard(West)	0.2500	0.2500	0.2500	0.2500
ovum	Italian	Occitan	0.2500	0.2500	0.2500	0.2500
ovum	Italian	Venetian	1.0000	1.0000	1.0000	1.0000
ovum	Ladino	Venetian	1.0000	1.0000	1.0000	1.0000
ovum	Ligurian	Venetian	0.5000	0.5000	0.5000	0.5000
ovum	Lombard(East)	Venetian	0.2500	0.2500	0.2500	0.2500
ovum	Lombard(West)	Venetian	0.2500	0.2500	0.2500	0.2500
ovum	Occitan	Venetian	0.2500	0.2500	0.2500	0.2500
pedem	French	Italian	0.6000	0.6000	0.6000	0.6000
pedem	Italian	Ladino	0.6000	0.6000	0.6000	0.6000
pedem	Italian	Ligurian	0.6000	0.6000	0.6000	0.6000
pedem	Italian	Lombard(East)	0.6000	0.6000	0.6000	0.6000
pedem	Italian	Lombard(West)	0.6000	0.6000	0.6000	0.6000
pedem	Italian	Occitan	0.6000	0.6000	0.6000	0.6000
pedem	Italian	Venetian	0.6000	0.6000	0.6000	0.6000
quattuor	Italian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
quattuor	Italian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
quattuor	Ligurian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
quattuor	Ligurian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
quattuor	Lombard(East)	Occitan	0.7143	0.7143	0.7143	0.7143
quattuor	Lombard(East)	Venetian	1.0000	1.0000	1.0000	1.0000
quattuor	Lombard(West)	Occitan	1.0000	1.0000	1.0000	1.0000
quattuor	Lombard(West)	Venetian	1.0000	1.0000	1.0000	1.0000
quinque	French	Italian	1.0000	1.0000	1.0000	1.0000
quinque	French	Ligurian	1.0000	1.0000	1.0000	1.0000
quinque	French	Venetian	1.0000	1.0000	1.0000	1.0000
quinque	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
quinque	Italian	Ligurian	1.0000	1.0000	1.0000	1.0000
quinque	Italian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
quinque	Italian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
quinque	Italian	Occitan	1.0000	1.0000	1.0000	1.0000
quinque	Italian	Venetian	1.0000	1.0000	1.0000	1.0000
quinque	Ladino	Ligurian	1.0000	1.0000	1.0000	1.0000
quinque	Ladino	Venetian	1.0000	1.0000	1.0000	1.0000
