|    |          - |          a |         b |       d |          e |       f |        g |         i |       j |          k |         l |        m |         n |          o |         p |           s |          t |      tʃ |        u |       w |       x |        ð |       ŋ |        ɣ |       ɲ |         ɾ |       ʝ |        β |        θ |
| k  |  0.0475227 | -0.0974161 |  1.34472  | 2.8488  |  0.184832  | 2.66719 | 3.14907  |  1.44303  | 2.08642 |  4.30664   |  1.16072  | 1.31487  |  0.678877 | -0.0174051 |  1.32244  |  1.05386    |  1.02233   | 3.17146 | 1.9438   | 2.4018  | 2.91048 | 1.89097  | 3.51772 | 2.00137  | 3.08654 | -0.26067  | 2.77957 | 1.62861  | 1.87874  |
| kː |  1.21759   |  2.17354   |  3.61996  | 5.12404 |  2.45628   | 4.92932 | 4.72749  |  3.02084  | 4.38687 |  4.01783   |  3.44321  | 3.59736  |  2.96137  |  2.25404   |  3.57145  |  3.31794    |  3.27134   | 5.43673 | 4.21476  | 4.69016 | 5.16472 | 4.17933  | 5.7999  | 4.29026  | 5.37643 |  2.02182  | 5.77316 | 3.91697  | 4.14086  |
| l  |  0.236765  |  0.506765  |  1.97707  | 3.49642 |  0.790127  | 3.19051 | 3.07569  |  1.35406  | 2.788   |  1.54185   |  4.6041   | 1.97441  |  1.35068  |  0.58789   |  1.80421  |  1.59464    |  1.50973   | 3.70246 | 2.54798  | 3.07569 | 3.41365 | 2.55441  | 4.17163 | 2.67022  | 3.76617 |  0.411133 | 3.48115 | 2.3025   | 2.38196  |
| lː |  1.39992   |  1.66992   |  3.13562  | 4.64993 |  1.95328   | 4.36746 | 4.23423  |  2.51721  | 3.94655 |  2.71881   |  3.72535  | 3.13415  |  2.50693  |  1.75104   |  2.98117  |  2.76745    |  2.68638   | 4.87703 | 3.71114  | 4.23423 | 4.59061 | 3.71564  | 5.33137 | 3.82877  | 4.92591 |  1.56738  | 5.73831 | 3.46104  | 3.56633  |
| m  | -0.456383  |  0.498583  |  1.99234  | 3.48115 |  0.781127  | 3.17042 | 3.07569  |  1.34588  | 2.788   |  1.54185   |  1.82026  | 4.82279  |  1.39171  |  0.57889   |  1.80984  |  1.58906    |  1.50411   | 3.71514 | 2.5398   | 3.06524 | 3.41365 | 2.56486  | 4.22492 | 2.67022  | 3.81946 |  0.398872 | 3.48115 | 2.31776  | 2.40205  |
| n  | -0.517007  | -0.247007  |  1.2233   | 2.74265 |  0.0363553 | 2.43674 | 2.32191  |  0.600291 | 2.03423 |  0.788077  |  1.07875  | 1.27393  |  4.12617  | -0.165882  |  1.05044  |  0.840864   |  0.755961  | 2.94869 | 1.79421  | 2.32191 | 2.65988 | 1.80064  | 3.47115 | 1.91645  | 3.06569 |  0.350508 | 2.72738 | 1.54872  | 1.62819  |
| nː |  1.62306   |  2.58621   |  4.05191  | 5.56622 |  2.86957   | 5.28376 | 5.15052  |  3.4335   | 4.86284 |  3.6351    |  3.90505  | 4.08873  |  3.46665  |  2.66733   |  3.89746  |  3.68374    |  3.60267   | 5.79332 | 4.62743  | 5.15052 | 5.5069  | 4.63193  | 6.28596 | 4.74506  | 6.57364 |  2.48367  | 5.55599 | 4.37733  | 4.48262  |
| o  |  0.384685  | -1.02675   |  0.488092 | 2.00276 | -0.761391  | 1.76903 | 1.5867   | -0.179455 | 1.29902 |  0.120368  |  0.34453  | 0.489681 | -0.137308 |  3.31072   |  0.382732 |  0.170176   |  0.0932154 | 2.29044 | 1.12247  | 1.5867  | 1.99217 | 1.08647  | 2.68691 | 1.18124  | 2.28144 | -1.07686  | 1.99217 | 0.813515 | 0.991157 |
| p  |  0.0649144 |  0.325441  |  1.78017  | 3.27166 |  0.607689  | 3.07746 | 2.86619  |  1.17274  | 2.53697 |  1.48293   |  1.58357  | 1.74335  |  1.10173  |  0.405452  |  4.54558  |  1.47672    |  1.44519   | 3.59432 | 2.36666  | 2.79696 | 3.31319 | 2.31383  | 3.93495 | 2.41919  | 3.52948 |  0.162187 | 3.23012 | 3.15511  | 2.30159  |
| pː |  1.21759   |  2.17354   |  3.62888  | 5.12404 |  2.45628   | 4.9204  | 4.71858  |  3.02084  | 4.40247 |  3.30908   |  3.44321  | 3.60267  |  2.96137  |  2.25404   |  4.68566  |  3.31794    |  3.27134   | 5.43673 | 4.21476  | 4.67455 | 5.15246 | 4.17933  | 5.79458 | 4.28469  | 5.38912 |  2.02182  | 5.09562 | 3.92254  | 4.14086  |
| r  | -1.44499   | -1.17499   |  0.299209 | 1.82343 | -0.891631  | 1.49707 | 1.39782  | -0.327696 | 1.11014 | -0.151593  |  0.849579 | 0.295315 | -0.325406 | -1.09387   |  0.110772 | -0.0950643  | -0.184298  | 2.01196 | 0.866226 | 1.39782 | 1.72021 | 0.874408 | 2.49254 | 0.992356 | 2.08707 |  3.16586  | 1.80329 | 0.624631 | 0.680916 |
| s  |  0.64223   |  0.506765  |  1.90957  | 3.41928 |  0.790127  | 3.25801 | 3.00819  |  1.35406  | 2.7205  |  1.60935   |  1.76899  | 1.91757  |  1.28715  |  0.58789   |  1.87171  |  4.36075    |  1.58688   | 3.77313 | 2.54798  | 3.00819 | 3.48115 | 2.47727  | 4.11479 | 2.60272  | 3.70933 |  0.347603 | 3.41365 | 2.235    | 2.4591   |
| sː |  0.929912  |  1.89306   |  3.30967  | 4.81907 |  2.17642   | 4.6397  | 4.40829  |  2.74036  | 4.1206  |  2.99104   |  3.16495  | 3.31409  |  2.68311  |  1.97418   |  3.2534   |  3.77414    |  2.96353   | 5.1539  | 3.93428  | 4.40829 | 5.96146 | 3.88478  | 5.51132 | 4.00282  | 5.10585 |  1.74357  | 4.81375 | 3.6351   | 3.84347  |
| t  |  0.370296  | -0.0528511 |  1.37981  | 2.89648 |  0.230511  | 2.70229 | 2.47843  |  0.794447 | 2.14921 |  1.09517   |  1.20143  | 1.34996  |  0.719594 |  0.0282744 |  1.35753  |  1.10422    |  4.12964   | 3.19764 | 1.98837  | 2.43689 | 2.92543 | 3.50781  | 3.54718 | 2.03142  | 3.14172 | -0.219954 | 2.84235 | 1.6637   | 1.90124  |
| ts |  0.929912  |  1.89306   |  3.30386  | 4.81351 |  2.17642   | 4.64164 | 4.40247  |  2.74036  | 4.11479 |  2.99298   |  3.16084  | 3.30967  |  2.679    |  1.97418   |  3.25534  |  3.06034    |  3.66065   | 5.20708 | 3.93428  | 4.40247 | 4.86478 | 3.87604  | 5.5069  | 3.99701  | 5.10143 |  1.73946  | 4.80794 | 3.62928  | 4.94288  |
| tʃ |  0.236765  |  1.89306   |  2.61071  | 4.09919 |  1.48327   | 3.94849 | 3.70933  |  2.04721  | 3.42164 |  2.29983   |  2.44969  | 2.61653  |  1.96786  |  1.28104   |  2.5622   |  2.34602    |  2.25317   | 4.5351  | 3.24113  | 3.70933 | 4.17163 | 3.1829   | 4.81375 | 3.30386  | 4.40829 |  1.02831  | 4.11479 | 2.93614  | 5.09703  |
| tː |  1.52775   |  0.881458  |  2.32068  | 3.83368 |  1.16482   | 3.63004 | 3.41929  |  1.72876  | 3.10319 |  2.0098    |  2.14924  | 2.29807  |  1.6674   |  0.962584  |  2.27216  |  2.02889    |  3.5971    | 5.22918 | 2.92268  | 3.39087 | 3.85318 | 2.86444  | 4.4953  | 2.98541  | 4.08983 |  0.727855 | 3.79634 | 2.61768  | 2.83266  |
| u  |  1.82373   |  0.298982  |  1.83294  | 3.34649 |  0.600344  | 3.11388 | 2.93155  |  1.18228  | 2.64387 |  1.46522   |  1.68826  | 1.83423  |  1.20643  |  0.506107  |  1.72758  |  1.51391    |  1.43695   | 3.63417 | 4.59964  | 2.93155 | 3.33702 | 2.4302   | 4.03146 | 2.52609  | 3.62599 |  0.266879 | 3.33702 | 2.15836  | 2.33489  |
| v  | -0.248743  |  0.70493   |  4.12193  | 3.69268 |  0.987178  | 3.44059 | 3.28722  |  1.55223  | 2.99954 |  1.73781   |  2.03056  | 2.17427  |  1.54872  |  0.784941  |  1.97248  |  1.78871    |  1.70006   | 3.91697 | 2.74615  | 3.27463 | 3.65115 | 2.81793  | 4.38194 | 2.92329  | 3.97647 |  0.609176 | 3.73422 | 4.49644  | 2.63954  |
| w  |  2.31621   |  2.57673   |  4.04782  | 5.56449 |  2.85898   | 5.23057 | 5.15902  |  3.42403  | 4.91288 |  3.60961   |  3.90236  | 4.04607  |  3.42053  |  2.65674   |  3.84428  |  3.66051    |  3.57187   | 5.78877 | 4.61795  | 5.22825 | 5.48141 | 4.6482   | 6.25374 | 4.75356  | 5.84827 |  2.48098  | 5.56449 | 4.37324  | 4.46981  |
| z  |  0.0136211 |  0.976768  |  2.44708  | 3.96642 |  1.26013   | 3.66051 | 3.54569  |  1.82407  | 3.25801 |  2.01185   |  2.30252  | 2.44441  |  1.82068  |  1.05789   |  2.27422  |  4.41714    |  1.97974   | 4.17961 | 3.01799  | 3.54569 | 3.88365 | 3.02442  | 4.64164 | 3.14022  | 4.23617 |  0.881136 | 3.95115 | 2.7725   | 2.85196  |
| ŋ  |  1.62306   |  2.57802   |  4.05651  | 5.56059 |  2.86057   | 5.26995 | 5.1704   |  3.42532  | 4.857   |  3.62692   |  3.8997   | 4.10714  |  3.47115  |  2.65833   |  3.88365  |  3.6685     |  3.58355   | 5.79458 | 4.61924  | 5.15513 | 5.49872 | 4.6443   | 7.02001 | 4.76493  | 5.89569 |  2.47831  | 5.55015 | 4.38194  | 4.48149  |
| ɔ  |  2.02852   |  1.82106   |  3.3359   | 4.85057 |  2.08642   | 4.61684 | 4.43452  |  2.66836  | 4.14683 |  2.96818   |  3.19234  | 3.33749  |  2.7105   |  2.01918   |  3.23054  |  3.71114    |  2.94103   | 5.13825 | 3.97028  | 4.43452 | 4.83998 | 3.93428  | 5.53472 | 4.02905  | 5.12925 |  1.77096  | 4.83998 | 3.66133  | 3.83897  |
| ɛ  |  2.31621   |  1.92906   |  3.3359   | 4.85057 |  2.22142   | 4.61684 | 4.43452  |  2.77636  | 4.14683 |  2.96818   |  3.19234  | 3.33749  |  2.7105   |  1.88418   |  3.23054  |  3.01799    |  2.94103   | 5.13825 | 3.86228  | 4.43452 | 4.83998 | 3.93428  | 5.53472 | 4.02905  | 5.12925 |  1.77096  | 4.83998 | 3.66133  | 3.83897  |
| ɱ  |  1.62306   |  2.57802   |  4.04607  | 5.56059 |  2.86057   | 5.27557 | 5.15513  |  3.42532  | 4.86745 |  3.62129   |  3.8997   | 4.79707  |  3.47115  |  2.65833   |  3.86357  |  3.6685     |  3.58355   | 5.79458 | 4.61924  | 5.14468 | 5.49309 | 4.6443   | 6.30436 | 4.74966  | 5.8989  |  2.47831  | 5.56059 | 4.37149  | 4.48149  |
| ɲː |  1.62306   |  2.57978   |  4.05191  | 5.55599 |  2.86265   | 5.28376 | 5.14275  |  3.42708  | 4.87307 |  3.62242   |  3.89629  | 4.08873  |  3.45274  |  2.66041   |  3.89746  |  3.67874    |  3.59736   | 5.80247 | 4.621    | 5.15052 | 5.49422 | 4.6397   | 6.28186 | 4.73729  | 6.58755 |  2.4749   | 5.56622 | 4.37733  | 4.4953   |
| ʃː |  1.62306   |  2.58621   |  4.00282  | 5.49422 |  2.86957   | 5.33285 | 5.10143  |  3.4335   | 4.81375 |  3.68419   |  3.84245  | 4.00724  |  3.36061  |  2.66733   |  3.94655  |  3.75614    |  3.63867   | 5.8627  | 4.62743  | 5.10143 | 5.55599 | 4.57793  | 6.20446 | 4.69597  | 5.799   |  2.42106  | 5.5069  | 4.32824  | 5.22976  |
