|    |          - |          a |         b |       d |          e |       f |        g |         i |       j |          k |         l |        m |         n |          o |         p |           s |          t |      tʃ |        u |       w |       x |        ð |       ŋ |        ɣ |       ɲ |         ɾ |       ʝ |        β |        θ |
|----|------------|------------|-----------|---------|------------|---------|----------|-----------|---------|------------|-----------|----------|-----------|------------|-----------|-------------|------------|---------|----------|---------|---------|----------|---------|----------|---------|-----------|---------|----------|----------|
| -  |  0         | -0.95146   | -0.191173 | 1.3129  |  2.6992    | 1.08976 | 0.907439 |  1.28213  | 2.6992  | -0.558898  | -0.345324 | 0.501974 |  0.27145  |  0.921425  | -0.296534 | -0.519677   |  0.0965088 | 1.60059 | 1.49523  | 2.6992  | 1.3129  | 1.49523  | 2.00605 | 2.29373  | 1.60059 | -0.668097 | 1.3129  | 0.134249 | 0.99445  |
| a  |  0.346766  |  3.23249   |  0.268966 | 1.78252 | -0.855631  | 1.5499  | 1.36758  | -0.309696 | 1.0799  | -0.0987587 |  0.124289 | 0.270258 | -0.357549 | -1.16587   |  0.163606 | -0.0500643  | -0.127025  | 2.0702  | 0.776226 | 1.36758 | 1.77304 | 0.866226 | 2.46748 | 0.962113 | 2.06202 | -1.2971   | 1.77304 | 0.594388 | 0.770916 |
| b  | -0.322851  |  0.630822  |  4.58162  | 3.66011 |  0.91307   | 3.28466 | 3.25465  |  1.47812  | 2.92543 |  1.70524   |  1.95645  | 2.12587  |  1.47462  |  0.710833  |  1.98019  |  1.7146     |  1.6675    | 3.84286 | 2.67204  | 3.20052 | 3.5355  | 2.70229  | 4.30783 | 2.80765  | 3.90236 |  0.535068 | 3.61858 | 3.84636  | 2.5239   |
| d  |  1.39992   |  0.976768  |  2.49251  | 5.41057 |  1.26013   | 3.64883 | 3.59112  |  1.82407  | 3.2619  |  2.04171   |  2.30819  | 2.44708  |  1.82636  |  1.05789   |  2.30407  |  2.0567     |  2.01656   | 4.16373 | 3.01799  | 3.54958 | 3.87197 | 4.41246  | 4.6443  | 3.14412  | 4.23884 |  0.886808 | 3.95505 | 2.77639  | 2.83268  |
| dʒ |  1.62306   |  2.58621   |  4.05385  | 5.54901 |  2.86957   | 5.27794 | 5.15246  |  3.4335   | 4.86478 |  3.62928   |  3.88999  | 4.05191  |  3.40815  |  2.66733   |  3.89165  |  3.66878    |  3.57594   | 5.85787 | 4.62743  | 5.15246 | 6.19423 | 4.63272  | 6.24914 | 4.747    | 5.84367 |  2.4686   | 5.55793 | 4.37927  | 4.47388  |
| dː |  2.31621   |  2.18074   |  3.67681  | 5.19649 |  2.4641    | 4.87248 | 4.77542  |  3.02804  | 4.45932 |  3.25224   |  3.50252  | 3.64645  |  3.02069  |  2.26187   |  3.5146   |  3.27417    |  3.22342   | 5.38289 | 4.22196  | 4.747   | 5.09562 | 4.22726  | 5.84367 | 4.34153  | 5.43821 |  2.08114  | 5.15246 | 3.97381  | 4.06842  |
| e  |  2.31621   | -1.09137   |  0.31548  | 1.83015 | -0.754003  | 1.59641 | 1.41409  | -0.244068 | 1.12641 | -0.0522452 |  0.171917 | 0.317068 | -0.309921 | -1.13624   |  0.210119 | -0.00243626 | -0.0793973 | 2.11783 | 0.841854 | 1.41409 | 1.81956 | 0.913854 | 2.51429 | 1.00863  | 2.10883 | -1.24947  | 1.81956 | 0.640902 | 0.818544 |
| f  |  1.50528   |  1.07266   |  2.44556  | 3.97733 |  1.3549    | 5.51593 | 3.57187  |  1.91995  | 3.28418 |  2.18861   |  2.33079  | 2.46485  |  1.84895  |  1.15267   |  2.43838  |  2.22393    |  2.15087   | 4.34153 | 3.11388  | 3.54417 | 4.10195 | 3.10258  | 4.68216 | 3.20794  | 4.2767  |  0.909401 | 4.01887 | 3.51322  | 3.09035  |
| fː |  1.21759   |  2.17354   |  3.57594  | 5.09562 |  2.45628   | 4.97334 | 4.69016  |  3.02084  | 4.40247 |  3.28066   |  3.44321  | 3.58467  |  2.96137  |  2.25404   |  4.63272  |  3.31794    |  3.24292   | 5.43673 | 4.21476  | 4.67455 | 5.18088 | 4.20775  | 5.79458 | 4.31311  | 5.38912 |  2.02182  | 5.12404 | 3.93313  | 4.16928  |
| g  |  0.236765  |  1.19044   |  2.71565  | 4.21973 |  1.47269   | 3.87197 | 5.4514   |  2.03774  | 3.47246 |  2.27744   |  2.51607  | 2.67022  |  2.03423  |  1.27045   |  2.52722  |  2.27422    |  2.22711   | 4.40247 | 3.23166  | 3.77273 | 4.10015 | 3.2619   | 4.88271 | 4.7737   | 4.45153 |  1.09468  | 4.1656  | 2.99954  | 3.08351  |
| i  |  1.19228   | -0.391526  |  1.72758  | 2.54798 | -0.0901637 | 2.31537 | 2.13305  |  3.74665  | 1.84536 |  0.666709  |  1.98837  | 1.03573  |  0.407919 | -0.400401  |  0.929073 |  0.715404   |  0.638442  | 2.83567 | 1.57769  | 2.13305 | 2.53851 | 1.63169  | 3.23295 | 1.72758  | 2.82749 | -0.531629 | 2.53851 | 1.35986  | 1.53638  |
| j  |  1.21759   |  2.17127   |  3.65494  | 5.15902 |  2.45352   | 4.8528  | 4.74097  |  3.01857  | 4.5351  |  3.17645   |  4.59551  | 3.65105  |  3.01506  |  2.25128   |  3.46651  |  3.25505    |  3.1664    | 5.3833  | 4.21249  | 4.79509 | 5.04825 | 4.24273  | 5.83783 | 4.3355   | 5.45808 |  2.07551  | 5.17916 | 3.98037  | 4.06434  |
