|    |   - |         a |         b |         d |         e |         f |         g |         i |         j |         k |         l |         m |         n |         o |         p |         s |         t |        tʃ |         u |         w |         x |         ð |         ŋ |         ɣ |         ɲ |         ɾ |         ʝ |         β |         θ |
|----|-----|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
| -  |   0 | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        | -1        |
| a  |  -1 |  1        |  0.447368 |  0.5      |  0.7      |  0.447368 |  0.447368 |  0.6      |  0.447368 |  0.447368 |  0.5      |  0.454545 |  0.5      |  0.1      |  0.447368 |  0.5      |  0.5      |  0.5      |  0        |  0.447368 |  0.447368 |  0.5      |  0.454545 |  0.447368 |  0.454545 |  0.5      |  0.447368 |  0.447368 |  0.5      |
| b  |  -1 |  0.447368 |  1        |  0.846154 |  0.441176 |  0        |  0.846154 |  0.447368 |  0.615385 |  0.384615 |  0.59375  |  0.678571 |  0.59375  |  0.441176 |  0.454545 |  0.21875  |  0.384615 |  0.263158 |  0.447368 |  0.545455 |  0.153846 |  0.615385 |  0.59375  |  0.615385 |  0.59375  |  0.59375  |  0.615385 |  0.727273 |  0.153846 |
| d  |  -1 |  0.5      |  0.846154 |  1        |  0.5      |  0.153846 |  0.846154 |  0.5      |  0.615385 |  0.384615 |  0.678571 |  0.59375  |  0.678571 |  0.5      |  0.384615 |  0.25     |  0.454545 |  0.176471 |  0.5      |  0.615385 |  0.153846 |  0.545455 |  0.59375  |  0.615385 |  0.59375  |  0.678571 |  0.615385 |  0.615385 |  0        |
| dʒ |  -1 |  0.5      |  0.578947 |  0.529412 |  0.5      |  0.263158 |  0.578947 |  0.5      |  0.578947 |  0.263158 |  0.525    |  0.568182 |  0.525    |  0.5      |  0.263158 |  0.264706 |  0.176471 |  0.647059 |  0.5      |  0.578947 |  0.263158 |  0.529412 |  0.568182 |  0.578947 |  0.568182 |  0.525    |  0.578947 |  0.578947 |  0.176471 |
| dː |  -1 |  0.5      |  0.736842 |  0.823529 |  0.5      |  0.263158 |  0.736842 |  0.5      |  0.578947 |  0.421053 |  0.625    |  0.568182 |  0.625    |  0.5      |  0.421053 |  0.325    |  0.470588 |  0.26087  |  0.5      |  0.578947 |  0.263158 |  0.529412 |  0.568182 |  0.578947 |  0.568182 |  0.625    |  0.578947 |  0.578947 |  0.176471 |
| e  |  -1 |  0.7      |  0.441176 |  0.5      |  1        |  0.441176 |  0.441176 |  0.7      |  0.441176 |  0.441176 |  0.5      |  0.45     |  0.5      |  0        |  0.441176 |  0.5      |  0.5      |  0.5      |  0.1      |  0.441176 |  0.441176 |  0.5      |  0.45     |  0.441176 |  0.45     |  0.5      |  0.441176 |  0.441176 |  0.5      |
| f  |  -1 |  0.447368 |  0        |  0.153846 |  0.441176 |  1        |  0.153846 |  0.447368 |  0.153846 |  0.615385 |  0.21875  |  0.107143 |  0.21875  |  0.441176 |  0.545455 |  0.59375  |  0.615385 |  0.578947 |  0.447368 |  0        |  0.846154 |  0.384615 |  0.21875  |  0.384615 |  0.21875  |  0.21875  |  0.384615 |  0.272727 |  0.846154 |
| fː |  -1 |  0.46     |  0.176471 |  0.263158 |  0.456522 |  0.823529 |  0.263158 |  0.46     |  0.263158 |  0.578947 |  0.295455 |  0.225    |  0.295455 |  0.456522 |  0.529412 |  0.568182 |  0.578947 |  0.56     |  0.46     |  0.176471 |  0.736842 |  0.421053 |  0.295455 |  0.421053 |  0.295455 |  0.295455 |  0.421053 |  0.352941 |  0.736842 |
| g  |  -1 |  0.447368 |  0.846154 |  0.846154 |  0.441176 |  0.153846 |  1        |  0.447368 |  0.545455 |  0.454545 |  0.59375  |  0.59375  |  0.59375  |  0.441176 |  0.384615 |  0.21875  |  0.384615 |  0.263158 |  0.447368 |  0.615385 |  0.181818 |  0.615385 |  0.678571 |  0.727273 |  0.535714 |  0.59375  |  0.545455 |  0.615385 |  0.153846 |
| i  |  -1 |  0.6      |  0.447368 |  0.5      |  0.7      |  0.447368 |  0.447368 |  1        |  0.447368 |  0.447368 |  0.5      |  0.454545 |  0.5      |  0.1      |  0.447368 |  0.5      |  0.5      |  0.5      |  0.2      |  0.447368 |  0.447368 |  0.5      |  0.454545 |  0.447368 |  0.454545 |  0.5      |  0.447368 |  0.447368 |  0.5      |
| j  |  -1 |  0.447368 |  0.615385 |  0.615385 |  0.441176 |  0.153846 |  0.545455 |  0.447368 |  1        |  0        |  0.59375  |  0.59375  |  0.59375  |  0.441176 |  0.153846 |  0.21875  |  0.153846 |  0.263158 |  0.447368 |  0.846154 |  0        |  0.615385 |  0.535714 |  0.545455 |  0.678571 |  0.59375  |  0.727273 |  0.615385 |  0.153846 |
| k  |  -1 |  0.447368 |  0.384615 |  0.384615 |  0.441176 |  0.615385 |  0.454545 |  0.447368 |  0        |  1        |  0.21875  |  0.21875  |  0.21875  |  0.441176 |  0.846154 |  0.59375  |  0.846154 |  0.578947 |  0.447368 |  0.153846 |  0.727273 |  0.153846 |  0.25     |  0.181818 |  0.107143 |  0.21875  |  0        |  0.153846 |  0.615385 |
| kː |  -1 |  0.46     |  0.421053 |  0.421053 |  0.456522 |  0.578947 |  0.470588 |  0.46     |  0.176471 |  0.823529 |  0.295455 |  0.295455 |  0.295455 |  0.456522 |  0.736842 |  0.568182 |  0.736842 |  0.56     |  0.46     |  0.263158 |  0.647059 |  0.263158 |  0.325    |  0.294118 |  0.225    |  0.295455 |  0.176471 |  0.263158 |  0.578947 |
| l  |  -1 |  0.5      |  0.59375  |  0.678571 |  0.5      |  0.21875  |  0.59375  |  0.5      |  0.59375  |  0.21875  |  1        |  0.578947 |  0.647059 |  0.5      |  0.21875  |  0.294118 |  0.25     |  0.225    |  0.5      |  0.59375  |  0.21875  |  0.535714 |  0.578947 |  0.59375  |  0.578947 |  0.647059 |  0.59375  |  0.59375  |  0.107143 |
| lː |  -1 |  0.5      |  0.568182 |  0.625    |  0.5      |  0.295455 |  0.568182 |  0.5      |  0.568182 |  0.295455 |  0.85     |  0.56     |  0.608696 |  0.5      |  0.295455 |  0.347826 |  0.325    |  0.288462 |  0.5      |  0.568182 |  0.295455 |  0.525    |  0.56     |  0.568182 |  0.56     |  0.608696 |  0.568182 |  0.568182 |  0.225    |
| m  |  -1 |  0.454545 |  0.678571 |  0.59375  |  0.45     |  0.107143 |  0.59375  |  0.454545 |  0.59375  |  0.21875  |  0.578947 |  1        |  0.875    |  0.45     |  0.25     |  0.263158 |  0.21875  |  0.295455 |  0.454545 |  0.535714 |  0.21875  |  0.59375  |  0.875    |  0.59375  |  0.875    |  0.578947 |  0.59375  |  0.678571 |  0.21875  |
| n  |  -1 |  0.5      |  0.59375  |  0.678571 |  0.5      |  0.21875  |  0.59375  |  0.5      |  0.59375  |  0.21875  |  0.647059 |  0.875    |  1        |  0.5      |  0.21875  |  0.294118 |  0.25     |  0.225    |  0.5      |  0.59375  |  0.21875  |  0.535714 |  0.875    |  0.59375  |  0.875    |  0.647059 |  0.59375  |  0.59375  |  0.107143 |
| nː |  -1 |  0.5      |  0.568182 |  0.625    |  0.5      |  0.295455 |  0.568182 |  0.5      |  0.568182 |  0.295455 |  0.608696 |  0.772727 |  0.85     |  0.5      |  0.295455 |  0.347826 |  0.325    |  0.288462 |  0.5      |  0.568182 |  0.295455 |  0.525    |  0.772727 |  0.568182 |  0.772727 |  0.608696 |  0.568182 |  0.568182 |  0.225    |
| o  |  -1 |  0.1      |  0.441176 |  0.5      |  0        |  0.441176 |  0.441176 |  0.1      |  0.441176 |  0.441176 |  0.5      |  0.45     |  0.5      |  1        |  0.441176 |  0.5      |  0.5      |  0.5      |  0.7      |  0.441176 |  0.441176 |  0.5      |  0.45     |  0.441176 |  0.45     |  0.5      |  0.441176 |  0.441176 |  0.5      |
| p  |  -1 |  0.447368 |  0.454545 |  0.384615 |  0.441176 |  0.545455 |  0.384615 |  0.447368 |  0.153846 |  0.846154 |  0.21875  |  0.25     |  0.21875  |  0.441176 |  1        |  0.59375  |  0.846154 |  0.578947 |  0.447368 |  0        |  0.615385 |  0.153846 |  0.21875  |  0.153846 |  0.21875  |  0.21875  |  0.153846 |  0.181818 |  0.615385 |
| pː |  -1 |  0.46     |  0.470588 |  0.421053 |  0.456522 |  0.529412 |  0.421053 |  0.46     |  0.263158 |  0.736842 |  0.295455 |  0.325    |  0.295455 |  0.456522 |  0.823529 |  0.568182 |  0.736842 |  0.56     |  0.46     |  0.176471 |  0.578947 |  0.263158 |  0.295455 |  0.263158 |  0.295455 |  0.295455 |  0.263158 |  0.294118 |  0.578947 |
