|    |   - |         a |         b |         d |         e |         f |         g |         i |         j |         k |         l |         m |         n |         o |         p |         s |         t |        tʃ |         u |         w |         x |         ð |         ŋ |         ɣ |         ɲ |         ɾ |         ʝ |         β |         θ |
| r  |  -1 |  0.5      |  0.615385 |  0.727273 |  0.5      |  0.153846 |  0.615385 |  0.5      |  0.615385 |  0.153846 |  0.678571 |  0.59375  |  0.678571 |  0.5      |  0.153846 |  0.25     |  0.181818 |  0.176471 |  0.5      |  0.615385 |  0.153846 |  0.545455 |  0.59375  |  0.615385 |  0.59375  |  0.678571 |  0.615385 |  0.615385 |  0        |
| s  |  -1 |  0.5      |  0.21875  |  0.25     |  0.5      |  0.59375  |  0.21875  |  0.5      |  0.21875  |  0.59375  |  0.294118 |  0.263158 |  0.294118 |  0.5      |  0.59375  |  1        |  0.678571 |  0.617647 |  0.5      |  0.21875  |  0.59375  |  0.107143 |  0.263158 |  0.21875  |  0.263158 |  0.294118 |  0.21875  |  0.21875  |  0.535714 |
| sː |  -1 |  0.5      |  0.295455 |  0.325    |  0.5      |  0.568182 |  0.295455 |  0.5      |  0.295455 |  0.568182 |  0.347826 |  0.32     |  0.347826 |  0.5      |  0.568182 |  0.85     |  0.625    |  0.586957 |  0.5      |  0.295455 |  0.568182 |  0.225    |  0.32     |  0.295455 |  0.32     |  0.347826 |  0.295455 |  0.295455 |  0.525    |
| t  |  -1 |  0.5      |  0.384615 |  0.454545 |  0.5      |  0.615385 |  0.384615 |  0.5      |  0.153846 |  0.846154 |  0.25     |  0.21875  |  0.25     |  0.5      |  0.846154 |  0.678571 |  1        |  0.529412 |  0.5      |  0.153846 |  0.615385 |  0        |  0.21875  |  0.153846 |  0.21875  |  0.25     |  0.153846 |  0.153846 |  0.545455 |
| ts |  -1 |  0.5      |  0.263158 |  0.294118 |  0.5      |  0.578947 |  0.263158 |  0.5      |  0.263158 |  0.578947 |  0.325    |  0.295455 |  0.325    |  0.5      |  0.578947 |  0.735294 |  0.647059 |  0.882353 |  0.5      |  0.263158 |  0.578947 |  0.176471 |  0.295455 |  0.263158 |  0.295455 |  0.325    |  0.263158 |  0.263158 |  0.529412 |
| tʃ |  -1 |  0.5      |  0.263158 |  0.176471 |  0.5      |  0.578947 |  0.263158 |  0.5      |  0.263158 |  0.578947 |  0.225    |  0.295455 |  0.225    |  0.5      |  0.578947 |  0.617647 |  0.529412 |  1        |  0.5      |  0.263158 |  0.578947 |  0.176471 |  0.295455 |  0.263158 |  0.295455 |  0.225    |  0.263158 |  0.263158 |  0.529412 |
| tː |  -1 |  0.5      |  0.421053 |  0.470588 |  0.5      |  0.578947 |  0.421053 |  0.5      |  0.263158 |  0.736842 |  0.325    |  0.295455 |  0.325    |  0.5      |  0.736842 |  0.625    |  0.823529 |  0.521739 |  0.5      |  0.263158 |  0.578947 |  0.176471 |  0.295455 |  0.263158 |  0.295455 |  0.325    |  0.263158 |  0.263158 |  0.529412 |
| u  |  -1 |  0        |  0.447368 |  0.5      |  0.1      |  0.447368 |  0.447368 |  0.2      |  0.447368 |  0.447368 |  0.5      |  0.454545 |  0.5      |  0.7      |  0.447368 |  0.5      |  0.5      |  0.5      |  1        |  0.447368 |  0.447368 |  0.5      |  0.454545 |  0.447368 |  0.454545 |  0.5      |  0.447368 |  0.447368 |  0.5      |
| v  |  -1 |  0.447368 |  0.545455 |  0.615385 |  0.441176 |  0.454545 |  0.615385 |  0.447368 |  0.615385 |  0.153846 |  0.59375  |  0.535714 |  0.59375  |  0.441176 |  0        |  0.21875  |  0.153846 |  0.263158 |  0.447368 |  0.545455 |  0.384615 |  0.846154 |  0.59375  |  0.846154 |  0.59375  |  0.59375  |  0.846154 |  0.818182 |  0.384615 |
| w  |  -1 |  0.447368 |  0.545455 |  0.615385 |  0.441176 |  0        |  0.615385 |  0.447368 |  0.846154 |  0.153846 |  0.59375  |  0.535714 |  0.59375  |  0.441176 |  0        |  0.21875  |  0.153846 |  0.263158 |  0.447368 |  1        |  0.153846 |  0.615385 |  0.59375  |  0.615385 |  0.59375  |  0.59375  |  0.615385 |  0.545455 |  0.153846 |
| z  |  -1 |  0.5      |  0.59375  |  0.678571 |  0.5      |  0.21875  |  0.59375  |  0.5      |  0.59375  |  0.21875  |  0.647059 |  0.578947 |  0.647059 |  0.5      |  0.21875  |  0.571429 |  0.25     |  0.264706 |  0.5      |  0.59375  |  0.21875  |  0.535714 |  0.578947 |  0.59375  |  0.578947 |  0.647059 |  0.59375  |  0.59375  |  0.107143 |
| ŋ  |  -1 |  0.454545 |  0.59375  |  0.59375  |  0.45     |  0.21875  |  0.678571 |  0.454545 |  0.535714 |  0.25     |  0.578947 |  0.875    |  0.875    |  0.45     |  0.21875  |  0.263158 |  0.21875  |  0.295455 |  0.454545 |  0.59375  |  0.25     |  0.59375  |  1        |  0.678571 |  0.857143 |  0.578947 |  0.535714 |  0.59375  |  0.21875  |
| ɔ  |  -1 |  0.1      |  0.441176 |  0.5      |  0        |  0.441176 |  0.441176 |  0.1      |  0.441176 |  0.441176 |  0.5      |  0.45     |  0.5      |  0.75     |  0.441176 |  0.5      |  0.5      |  0.5      |  0.7      |  0.441176 |  0.441176 |  0.5      |  0.45     |  0.441176 |  0.45     |  0.5      |  0.441176 |  0.441176 |  0.5      |
| ɛ  |  -1 |  0.7      |  0.441176 |  0.5      |  0.75     |  0.441176 |  0.441176 |  0.7      |  0.441176 |  0.441176 |  0.5      |  0.45     |  0.5      |  0        |  0.441176 |  0.5      |  0.5      |  0.5      |  0.1      |  0.441176 |  0.441176 |  0.5      |  0.45     |  0.441176 |  0.45     |  0.5      |  0.441176 |  0.441176 |  0.5      |
| ɱ  |  -1 |  0.454545 |  0.535714 |  0.59375  |  0.45     |  0.25     |  0.59375  |  0.454545 |  0.59375  |  0.21875  |  0.578947 |  0.857143 |  0.875    |  0.45     |  0.107143 |  0.263158 |  0.21875  |  0.295455 |  0.454545 |  0.535714 |  0.21875  |  0.59375  |  0.875    |  0.59375  |  0.875    |  0.578947 |  0.59375  |  0.535714 |  0.21875  |
| ɲː |  -1 |  0.464286 |  0.568182 |  0.568182 |  0.461538 |  0.295455 |  0.525    |  0.464286 |  0.625    |  0.225    |  0.56     |  0.772727 |  0.772727 |  0.461538 |  0.295455 |  0.32     |  0.295455 |  0.339286 |  0.464286 |  0.568182 |  0.225    |  0.568182 |  0.75     |  0.525    |  0.85     |  0.56     |  0.625    |  0.568182 |  0.295455 |
| ʃː |  -1 |  0.5      |  0.295455 |  0.225    |  0.5      |  0.568182 |  0.295455 |  0.5      |  0.295455 |  0.568182 |  0.26087  |  0.32     |  0.26087  |  0.5      |  0.568182 |  0.75     |  0.525    |  0.673913 |  0.5      |  0.295455 |  0.568182 |  0.225    |  0.32     |  0.295455 |  0.32     |  0.26087  |  0.295455 |  0.295455 |  0.525    |
