|    |        + |        - |        a |        b |        d |        e |        f |        g |       gʲ |        h |        i |        j |        k |        l |        m |        n |        o |        p |        r |        s |        t |       tɕ |        u |        v |        y |        z |        æ |        ø |        ɛ |        ɢ |        ɣ |        ɯ |        ʃ |        ʥ |        ʨ |        χ |
| j  | -0.5     | -4.76899 | -5.20949 | -6.51619 | -6.51619 | -5.20949 | -0.5     | -0.5     | -0.5     | -0.5     | -5.82305 | -3.08259 | -6.51619 | -6.51619 | -0.5     | -6.59578 | -5.90263 | -0.5     | -6.59578 | -6.51619 | -0.5     | -0.5     | -6.51619 | -0.5     | -5.90263 | -0.5     | -6.59578 | -6.59578 | -0.5     | -6.51619 | -0.5     | -6.59578 | -0.5     | -0.5     | -0.5     | -0.5     |
| k  | -0.5     | -5.70044 | -5.82305 | -6.51619 | -6.51619 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -5.82305 | -6.37843 | -3.73937 | -6.59578 | -0.5     | -6.59578 | -6.59578 | -6.37843 | -6.59578 | -6.59578 | -6.37843 | -0.5     | -6.37843 | -0.5     | -5.49717 | -0.5     | -6.51619 | -5.90263 | -0.5     | -3.12033 | -0.5     | -5.49717 | -5.82305 | -0.5     | -0.5     | -4.58667 |
| l  | -6.39359 | -6.37843 | -6.59578 | -0.5     | -6.59578 | -0.5     | -6.59578 | -0.5     | -0.5     | -0.5     | -5.82305 | -6.51619 | -6.59578 | -3.3339  | -6.59578 | -6.59578 | -6.59578 | -0.5     | -5.82305 | -0.5     | -6.59578 | -6.59578 | -6.39359 | -6.37843 | -6.37843 | -0.5     | -6.37843 | -6.59578 | -0.5     | -6.51619 | -0.5     | -6.37843 | -0.5     | -0.5     | -6.59578 | -6.37843 |
| m  | -0.5     | -6.37843 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.51619 | -6.51619 | -0.5     | -0.5     | -4.76899 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.59578 | -0.5     | -0.5     | -0.5     | -6.59578 | -0.5     | -0.5     | -0.5     | -6.51619 | -6.39359 | -0.5     | -0.5     | -0.5     | -0.5     |
| n  | -0.5     | -6.39359 | -5.90263 | -0.5     | -6.51619 | -5.41758 | -0.5     | -0.5     | -0.5     | -6.39359 | -6.37843 | -6.59578 | -0.5     | -5.82305 | -0.5     | -2.88192 | -0.5     | -0.5     | -6.37673 | -6.51619 | -0.5     | -0.5     | -6.59578 | -0.5     | -6.51619 | -6.51619 | -5.41758 | -6.59578 | -0.5     | -0.5     | -0.5     | -5.41758 | -0.5     | -0.5     | -0.5     | -0.5     |
| nː | -0.5     | -6.51619 | -6.59578 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.37843 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     |
| o  | -0.5     | -6.39359 | -6.39359 | -5.90263 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.59578 | -0.5     | -6.59578 | -0.5     | -5.82305 | -3.81348 | -6.51619 | -0.5     | -5.90263 | -5.90263 | -0.5     | -6.37843 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.51619 | -0.5     | -0.5     | -0.5     | -6.59578 | -5.41758 |
| p  | -0.5     | -5.49717 | -5.82305 | -6.37843 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.59578 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.39359 | -6.37843 | -5.68528 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     |
| q  | -0.5     | -6.59578 | -6.51619 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -5.68528 | -0.5     | -6.51619 | -6.59578 | -0.5     | -0.5     | -0.5     |
| r  | -0.5     | -6.37673 | -4.80402 | -6.51619 | -6.59578 | -5.82305 | -0.5     | -0.5     | -0.5     | -0.5     | -5.20949 | -6.51619 | -0.5     | -6.59578 | -6.51619 | -5.82305 | -5.90263 | -5.68528 | -2.97723 | -6.37843 | -6.59578 | -0.5     | -6.51619 | -0.5     | -5.49717 | -0.5     | -5.90263 | -6.51619 | -0.5     | -5.41758 | -0.5     | -6.51619 | -0.5     | -0.5     | -0.5     | -6.51619 |
| s  | -0.5     | -6.37843 | -6.51619 | -0.5     | -0.5     | -6.37843 | -0.5     | -0.5     | -0.5     | -0.5     | -6.37673 | -0.5     | -6.51619 | -0.5     | -0.5     | -6.51619 | -6.51619 | -0.5     | -0.5     | -3.89352 | -0.5     | -6.37673 | -6.59578 | -0.5     | -0.5     | -0.5     | -6.59578 | -6.59578 | -0.5     | -0.5     | -0.5     | -6.37843 | -0.5     | -0.5     | -0.5     | -6.59578 |
| t  | -0.5     | -5.82305 | -6.51619 | -0.5     | -4.43252 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.59578 | -0.5     | -0.5     | -6.39359 | -0.5     | -0.5     | -6.59578 | -0.5     | -5.41758 | -0.5     | -4.07584 | -0.5     | -6.51619 | -0.5     | -0.5     | -0.5     | -5.90263 | -0.5     | -0.5     | -0.5     | -0.5     | -5.82305 | -0.5     | -0.5     | -0.5     | -0.5     |
| tɕ | -0.5     | -6.51619 | -6.51619 | -0.5     | -0.5     | -6.39359 | -0.5     | -0.5     | -0.5     | -0.5     | -5.41758 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.51619 | -0.5     | -6.39359 | -0.5     | -0.5     | -4.07584 | -0.5     | -0.5     | -0.5     | -0.5     | -6.59578 | -0.5     | -0.5     | -0.5     | -0.5     | -6.51619 | -0.5     | -6.37843 | -6.37843 | -0.5     |
| u  | -0.5     | -6.37843 | -6.59578 | -6.51619 | -5.20949 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -5.20949 | -0.5     | -5.82305 | -5.90263 | -5.49717 | -5.82305 | -0.5     | -6.51619 | -6.37673 | -5.90263 | -0.5     | -2.97723 | -6.59578 | -0.5     | -5.90263 | -0.5     | -0.5     | -0.5     | -5.82305 | -6.59578 | -5.68528 | -6.59578 | -0.5     | -6.39359 | -6.59578 |
| v  | -6.59578 | -5.90263 | -6.39359 | -0.5     | -0.5     | -6.59578 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.51619 | -0.5     | -0.5     | -6.37843 | -0.5     | -6.37843 | -0.5     | -0.5     | -0.5     | -0.5     | -6.51619 | -6.39359 | -5.68528 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     |
| y  | -0.5     | -6.39359 | -0.5     | -6.59578 | -5.49717 | -6.37843 | -6.39359 | -0.5     | -6.51619 | -0.5     | -5.27981 | -6.59578 | -6.59578 | -0.5     | -0.5     | -5.49717 | -0.5     | -6.59578 | -5.90263 | -6.59578 | -6.59578 | -6.51619 | -0.5     | -0.5     | -3.48805 | -6.59578 | -6.37843 | -6.37843 | -0.5     | -0.5     | -0.5     | -0.5     | -6.59578 | -0.5     | -0.5     | -0.5     |
| z  | -0.5     | -6.39359 | -6.59578 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -5.49717 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -5.49717 | -0.5     | -6.59578 | -3.89352 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.51619 | -0.5     | -0.5     | -0.5     | -0.5     |
| ø  | -0.5     | -6.51619 | -0.5     | -6.59578 | -6.59578 | -0.5     | -0.5     | -0.5     | -5.41758 | -0.5     | -0.5     | -6.59578 | -6.39359 | -6.59578 | -0.5     | -6.51619 | -0.5     | -0.5     | -0.5     | -6.39359 | -0.5     | -0.5     | -0.5     | -0.5     | -6.51619 | -0.5     | -6.51619 | -4.07584 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     |
| ɣ  | -0.5     | -5.41758 | -6.51619 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.59578 | -5.27981 | -6.37843 | -0.5     | -0.5     | -6.59578 | -5.90263 | -0.5     | -0.5     | -5.82305 | -0.5     | -6.51619 | -0.5     | -0.5     | -6.59578 | -6.39359 | -0.5     | -6.39359 | -0.5     | -0.5     | -4.43252 | -6.59578 | -0.5     | -0.5     | -0.5     | -0.5     |
| ɯ  | -0.5     | -5.41758 | -5.1299  | -0.5     | -6.59578 | -6.51619 | -0.5     | -0.5     | -0.5     | -0.5     | -4.99213 | -5.82305 | -0.5     | -5.90263 | -0.5     | -5.49717 | -0.5     | -0.5     | -6.51619 | -6.51619 | -6.39359 | -6.37843 | -5.68528 | -0.5     | -0.5     | -5.90263 | -6.37673 | -0.5     | -0.5     | -5.90263 | -6.51619 | -3.81348 | -0.5     | -0.5     | -0.5     | -5.82305 |
| ʃ  | -0.5     | -4.64987 | -5.90263 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -5.90263 | -0.5     | -0.5     | -0.5     | -6.51619 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.59578 | -0.5     | -6.51619 | -0.5     | -0.5     | -6.51619 | -0.5     | -6.51619 | -3.89352 | -0.5     | -0.5     | -0.5     |
| ʥ  | -0.5     | -6.37843 | -6.39359 | -0.5     | -0.5     | -6.51619 | -0.5     | -0.5     | -0.5     | -0.5     | -6.39359 | -0.5     | -0.5     | -6.37843 | -0.5     | -6.51619 | -0.5     | -0.5     | -0.5     | -6.51619 | -6.37673 | -6.37843 | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -0.5     | -6.59578 | -0.5     | -0.5     | -6.51619 | -0.5     | -5.68528 | -6.51619 | -0.5     |
